# commit bd985d7; command: awk join of unselected.tsv (runner.ts conformance) with classify-map.tsv and spec/README.md code inventory; date 2026-09-25T20:38:57Z
path	phase	expectation	verdict	codes	class	feature	diagnostic_kind	finding
typing/invalid/pack-length-mismatch.hd	type	reject:pack-length-mismatch	FAIL	unsupported-generic-parameter	deferred	packs	structured	F-250
typing/invalid/pack-map-mapper-mismatch.hd	type	reject:pack-map-mapper-mismatch	FAIL	unknown-name	deferred	packs	generic(unknown-name)	F-250
typing/invalid/parameter-decorator-type.hd	type	reject:invalid-parameter-metadata	FAIL	expected-token	deferred	annotations	generic(expected-token)	F-250
typing/invalid/plain-closure-mutable-capture.hd	type	reject:mutable-capture-requires-mut-fn	FAIL		in-scope-failing	closure capture permission (UNSOUND ACCEPT)	accepted-no-diagnostic	F-251
typing/invalid/retention-missing-field.hd	type	reject:unknown-shape-target	FAIL	expected-expression	deferred	annotations (shape)	generic(expected-expression)	F-250
typing/invalid/row-kind-mismatch.hd	type	reject:generic-kind-mismatch	FAIL	expected-token	in-scope-failing	row-kinded generic data arguments	generic(expected-token)	F-256
typing/invalid/unknown-annotation-member.hd	type	reject:unknown-annotation-member	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/invalid/unrepresentable-type-shape.hd	type	reject:unrepresentable-type-shape	FAIL	expected-expression	deferred	annotations (shape)	generic(expected-expression)	F-250
typing/invalid/unsigned-negation.hd	type	reject:unsigned-negation	FAIL	unknown-type	in-scope-failing	sized numeric types	generic(unknown-type)	F-253
typing/invalid/variance-position.hd	type	reject:invalid-variance	FAIL	expected-token	deferred	declared variance	generic(expected-token)	F-250
typing/invalid/variance-representation-change.hd	type	reject:variance-representation-change	FAIL	expected-token	deferred	declared variance	generic(expected-token)	F-250
typing/invalid/variant-result-owner.hd	type	reject:variant-result-owner	FAIL	expected-token	in-scope-failing	unnamed positional enum payload (parser); GADT result is deferred	generic(expected-token)	F-252
typing/valid/annotation-reference.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/annotations.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/configured-facet.hd	type	accept	FAIL	decorator-not-top-level	deferred	annotations	spec-code-wrong-meaning(decorator-not-top-level)	F-250
typing/valid/data-decorator.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/derived-equality.hd	type	accept	FAIL	decorator-not-top-level	deferred	annotations (derive)	spec-code-wrong-meaning(decorator-not-top-level)	F-250
typing/valid/derived-generic-bound.hd	type	accept	FAIL	decorator-not-top-level	deferred	annotations (derive)	spec-code-wrong-meaning(decorator-not-top-level)	F-250
typing/valid/derived-hash.hd	type	accept	FAIL	decorator-not-top-level	deferred	annotations (derive)	spec-code-wrong-meaning(decorator-not-top-level)	F-250
typing/valid/derived-ordering.hd	type	accept	FAIL	decorator-not-top-level	deferred	annotations (derive)	spec-code-wrong-meaning(decorator-not-top-level)	F-250
typing/valid/direct-annotation-impl.hd	type	accept	FAIL	unknown-trait	deferred	annotations	generic(unknown-trait)	F-250
typing/valid/embedded-field-decorator.hd	type	accept	FAIL	expected-token	deferred	annotations	generic(expected-token)	F-250
typing/valid/full-validation.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/gadts.hd	type	accept	FAIL	expected-token	deferred	GADTs	generic(expected-token)	F-250
typing/valid/generic-annotation-family.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/generic-map-key.hd	type	accept	FAIL	unknown-trait,invalid-map-key	in-scope-failing	prelude Eq/Hash traits	generic(unknown-trait)	F-255
typing/valid/invariant-gadt-result.hd	type	accept	FAIL	expected-expression	deferred	GADTs	generic(expected-expression)	F-250
typing/valid/lazy-annotation-build.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/local-types.hd	type	accept	FAIL	expected-expression	in-scope-failing	local declarations (type/data/enum/trait/impl)	generic(expected-expression)	F-254
typing/valid/missing-child-override.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/mutable-closure-capture.hd	type	accept	FAIL	expected-expression	in-scope-failing	mut fn closures	generic(expected-expression)	F-257
typing/valid/mutable-suspension.hd	type	accept	FAIL	unsupported-generic-parameter	deferred	packs	structured	F-250
typing/valid/newtypes-and-widening.hd	type	accept	FAIL	expected-expression	in-scope-failing	type declarations + sized numeric types	generic(expected-expression)	F-253
typing/valid/numeric-corners.hd	type	accept	FAIL	unknown-type	in-scope-failing	sized numeric types	generic(unknown-type)	F-253
typing/valid/numeric-types.hd	type	accept	FAIL	unknown-type	in-scope-failing	sized numeric types	generic(unknown-type)	F-253
typing/valid/numeric-widening-and-display-list.hd	type	accept	FAIL	unknown-type	in-scope-failing	sized numeric types	generic(unknown-type)	F-253
typing/valid/pack-map.hd	type	accept	FAIL	unsupported-generic-parameter	deferred	packs	structured	F-250
typing/valid/parameter-decorator.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/prelude-surface.hd	type	accept	FAIL	unknown-trait	in-scope-failing	prelude Hash/Hasher and list.map surface	generic(unknown-trait)	F-255
typing/valid/retention-metadata.hd	type	accept	FAIL	expected-expression	deferred	annotations	generic(expected-expression)	F-250
typing/valid/root-orphan-annotation.hd	type	accept	FAIL	expected-expression	deferred	annotations + multi-package role	generic(expected-expression)	F-250
typing/valid/row-kinded-arguments.hd	type	accept	FAIL	expected-token	in-scope-failing	row-kinded generic data arguments	generic(expected-token)	F-256
typing/valid/shape-api.hd	type	accept	FAIL	expected-expression	deferred	annotations (shape)	generic(expected-expression)	F-250
typing/valid/traits.hd	type	accept	PASS		passing-unselected	traits	n/a	F-260
typing/valid/variadic-generics.hd	type	accept	FAIL	unsupported-generic-parameter	deferred	packs	structured	F-250
typing/valid/variance-permission-weakening.hd	type	accept	FAIL	expected-token	deferred	declared variance	generic(expected-token)	F-250
