source	result	detail
audit/blind/fixtures/a3-generic-key-collision.hd	added	typing/invalid/declared-generic-key-lexical-collision.hd (declared Repo[T] vs lexical Repo[User], the ch11 example; existing fixtures cover only lexical-lexical)
audit/blind/fixtures/a3-subtract-absent-two-keys.hd	skipped	duplicate of typing/warnings/requirement-subtract-absent.hd; its extra present-key twin cannot be judged because warnings never fail a case
audit/blind/fixtures/a4-nan-equality-through-erasure.hd	added	runtime/valid/nan-equality-through-generics.hd
audit/blind/fixtures/a4-signed-zero-and-infinity.hd	added	runtime/valid/signed-zero-and-infinity-through-generics.hd
audit/blind/fixtures/a4-nan-ordering.hd	added	runtime/valid/nan-ordering-composites.hd (may overlap gaps probe g06a/g06c)
audit/blind/fixtures/a4-i32-extremes-through-erasure.hd	added	runtime/valid/i32-extremes-through-generics.hd
audit/blind/fixtures/a4-erased-i32-overflow-panics.hd	added	runtime/panic/generic-i32-overflow.hd
audit/blind/fixtures/a4-i64-u64-precision-through-erasure.hd	added	runtime/valid/i64-u64-precision-through-generics.hd
audit/blind/fixtures/a4-f32-width-through-erasure.hd	added	runtime/valid/f32-display-width-through-generics.hd (AMB-09 read as settled: ch04 "shortest round-trip decimal digits" round-trips to the value's own width)
audit/blind/fixtures/a4-expect-result-min-through-optional.hd	added	runtime/valid/i32-minimum-through-generic-optional.hd (converted: expect-result replaced by assert_equal in a test block; function no longer pub)
audit/blind/fixtures/a5-boxed-primitive-identity.hd	added	runtime/valid/boxed-primitive-identity.hd
audit/blind/fixtures/a5-composite-identity-and-views.hd	added	runtime/valid/composite-identity-and-views.hd (mut/readonly and map vs mut map operands compatible per L7)
audit/blind/fixtures/a5-fieldless-variant-canonical.hd	added	runtime/valid/payload-free-variant-canonical.hd
audit/blind/fixtures/a5-fieldless-variant-erased-identity.hd	added	runtime/valid/variant-identity-through-any.hd (updated to L5: shared-data variant StatusCode.NotFound now asserts distinct identity per construction; AMB-07 settled by ch05, only primitive/tuple/optional conversions box; added Any-identity checks for the shared-data construction)
audit/blind/fixtures/a5-identity-rejections.hd	added	typing/invalid/optional-identity.hd, typing/invalid/string-identity.hd (split one marker per fixture, each with an accepting twin; the f64 marker dropped as a duplicate of primitive-identity.hd)
audit/blind/fixtures/a5-closure-identity-per-evaluation.hd	added	runtime/valid/closure-identity-per-evaluation.hd
audit/blind/fixtures/a6-generic-permission-preserved.hd	added	runtime/valid/generic-mut-argument-preserved.hd
audit/blind/fixtures/a6-readonly-root-generic-path.hd	skipped	depends on AMB-14 (direct mutation path users[0].name = x through a readonly root with a mut generic argument): ch04 Mutable Paths requires "a mutable root expression" while its table allows list[mut User] element mutation; not settled
audit/blind/fixtures/a6-readonly-rejections.hd	added	typing/invalid/short-binding-readonly-root.hd, typing/invalid/readonly-parent-mut-field-argument.hd (split one marker per fixture with twins; the mutable-upgrade marker duplicates inferred-mutable-upgrade.hd (L6) and the mutable-receiver-required marker duplicates readonly-map-remove.hd, so both dropped)
audit/blind/fixtures/a6-closure-capture-permission.hd	skipped	depends on AMB-16 (plain closure passing a captured mut T to a mut T parameter: mutable-capture-requires-mut-fn or readonly-argument-to-mutable-parameter); ch07 does not settle the code; the mut self case is already covered by plain-closure-mutable-capture.hd
audit/blind/fixtures/a6-closure-capture-runtime.hd	added	runtime/valid/mut-closure-capture-runtime.hd
audit/blind/fixtures/a6-covariant-weakening-runtime.hd	added	runtime/valid/covariant-readonly-weakening.hd (adapted: the source converted mut list[mut User] to list[User] in one step, combining permission weakening with variance, which OPEN_ISSUES lists as confirmed deferred; now weakens to a readonly list[mut User] / map[string, mut User] view first, then applies variance only; is between list[User] and mut list[mut User] per L7)
audit/blind/fixtures/a7-for-map-remove-panics.hd	added	runtime/panic/for-map-remove-invalidates.hd (top-level script moved into a test block)
audit/blind/fixtures/a7-for-map-insert-panics.hd	added	runtime/panic/for-map-insert-invalidates.hd (top-level script moved into a test block)
audit/blind/fixtures/a7-exhausted-iterator-then-growth.hd	added	runtime/panic/exhausted-iterator-invalidated-by-growth.hd (AMB-13 read as settled: ch06 "invalidates existing iterators; their next next call causes a checked runtime panic"; moved into a test block)
audit/blind/fixtures/a7-alias-growth-invalidates.hd	added	runtime/panic/alias-growth-invalidates-readonly-iterator.hd (moved into a test block)
audit/blind/fixtures/a7-shape-versus-value-changes.hd	added	runtime/valid/iterator-shape-versus-value-changes.hd
audit/blind/fixtures/a7-remove-absent-key.hd	added	runtime/valid/map-remove-absent-key.hd (adapted: the iterator-validity assertion depends on AMB-12, whether removing an absent key is a shape change, which ch06 does not settle; kept only the settled remove -> V? results)
audit/blind/fixtures/a8-defaults-reference-earlier-parameters.hd	added	runtime/valid/defaults-reference-earlier-parameters.hd
audit/blind/fixtures/a8-default-later-parameter-rejected.hd	added	typing/invalid/default-later-parameter-earlier-twin.hd (AMB-15 decided by L10: binding-not-yet-visible; kept over parameter-default-later-parameter.hd for the earlier-parameter twin)
audit/blind/fixtures/a8-copy-update-evaluation-order.hd	added	runtime/valid/copy-update-source-order-observed.hd (name differs from existing copy-update-evaluation-order.hd, which cannot observe order)
audit/blind/fixtures/a8-copy-update-shallow.hd	added	runtime/valid/copy-update-shallow.hd
audit/blind/fixtures/a8-copy-update-permission.hd	added	typing/invalid/readonly-spread-mut-field-twins.hd (kept over readonly-spread-mutable-field.hd for the readonly, replaced, and generic-field twins)
audit/blind/fixtures/a9-empty-strings.hd	added	runtime/valid/empty-string-operations.hd
audit/blind/fixtures/a9-split-empty-input-nonempty-separator.hd	added	runtime/valid/split-empty-input-nonempty-separator.hd (AMB-10 read as settled: ch10 gives the empty list only for an empty separator; a string without the separator is one piece)
audit/blind/fixtures/a9-multibyte-scalars.hd	added	runtime/valid/multibyte-scalar-strings.hd (non-ASCII literals rewritten as \u{...} escapes, now accepted by the reference lexer)
audit/blind/fixtures/a9-trim-white-space.hd	added	runtime/valid/trim-unicode-white-space.hd (invisible scalars rewritten as \u{...} escapes)
audit/blind/fixtures/a9-replace-empty-old.hd	added	runtime/valid/replace-non-overlapping.hd (adapted: empty-old test dropped, it depends on AMB-11, whether the string ends are scalar boundaries; added a no-match assertion)
audit/blind/fixtures/a9-interpolation-display.hd	added	runtime/valid/interpolation-display-order.hd (AMB-23 read as settled: nothing forbids an ordinary method from assigning a top-level let)
audit/blind/fixtures/a9-invalid-unicode-escape.hd	added	parse/invalid/surrogate-unicode-escape.hd, parse/invalid/out-of-range-unicode-escape.hd (split one marker per fixture, each keeping the valid U+10FFFF line)
