# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/runner.ts fixtures audit/probes/claims audit/evidence/02-claims/probes.tsv; date 2026-09-25T21:07:57.718Z
path	name	verdict	codes	commands	failure	first_output
audit/probes/claims/p32-map-order.hd	maps keep insertion order; duplicate literal keys replace in place; reinsertion after remove goes last	PASS		hd test audit/probes/claims/p32-map-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p32-map-order.hd: 1 passed
audit/probes/claims/p33-comprehension-order.hd	comprehensions evaluate nested clauses left to right with filters and duplicate-key replacement	PASS		hd test audit/probes/claims/p33-comprehension-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p33-comprehension-order.hd: 1 passed
audit/probes/claims/p34-comprehension-suspension.hd	suspension calls are forbidden in comprehensions	PASS	suspension-forbidden-context	hd check audit/probes/claims/p34-comprehension-suspension.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p34-comprehension-suspension.hd:5:29: suspension-forbidden-context: a comprehension cannot contain a suspension call
audit/probes/claims/p35-loop-else-values.hd	while-else and for-else produce values on break or exhaustion	PASS		hd test audit/probes/claims/p35-loop-else-values.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p35-loop-else-values.hd: 1 passed
audit/probes/claims/p36-tuple-binding-once.hd	tuple bindings stage the initializer once and bind simultaneously	PASS		hd test audit/probes/claims/p36-tuple-binding-once.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p36-tuple-binding-once.hd: 2 passed
audit/probes/claims/p37-binding-conditional-use.hd	a binding introduced after a short-circuit is not definitely initialized	PASS	possibly-uninitialized-binding	hd check audit/probes/claims/p37-binding-conditional-use.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p37-binding-conditional-use.hd:4:9: possibly-uninitialized-binding: binding 'inside' may not have been initialized on this path
audit/probes/claims/p38-module-init-once.hd	module initialization runs exactly once before main	PASS		hd test audit/probes/claims/p38-module-init-once.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p38-module-init-once.hd: 1 passed
audit/probes/claims/p39-module-transitive-read.hd	a top-level initializer may not transitively read a later binding through a function	PASS	top-level-read-before-initialization	hd check audit/probes/claims/p39-module-transitive-read.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p39-module-transitive-read.hd:2:1: top-level-read-before-initialization: top-level statement may read module binding 'later' before initialization
audit/probes/claims/p40-module-reassign.hd	functions may reassign top-level let bindings and read them later	PASS		hd test audit/probes/claims/p40-module-reassign.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p40-module-reassign.hd: 2 passed
audit/probes/claims/p41-generic-nan-negzero.hd	f64 NaN, -0 and infinities survive erased generic boxing; i32 extremes survive optionals and lists	PASS		hd test audit/probes/claims/p41-generic-nan-negzero.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p41-generic-nan-negzero.hd: 1 passed
audit/probes/claims/p42-ordering-nan.hd	unordered float components make all four relational operators false; nil orders first	FAIL	STACK-TRACE	hd test audit/probes/claims/p42-ordering-nan.hd	expected acceptance	file:///Users/hd/code/test/hd-lang/src/wasm.ts:23
audit/probes/claims/p43-equality-structural.hd	built-in structural equality for tuples, lists, optionals, Result and order-independent maps	PASS		hd test audit/probes/claims/p43-equality-structural.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p43-equality-structural.hd: 1 passed
audit/probes/claims/p44-no-implicit-equality.hd	data declarations do not acquire equality implicitly	PASS	missing-partial-eq	hd check audit/probes/claims/p44-no-implicit-equality.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p44-no-implicit-equality.hd:6:5: missing-partial-eq: type 'Point' does not implement PartialEq
audit/probes/claims/p45-partialeq-generic-nested.hd	explicit PartialEq is used recursively inside lists and through generic bounds	PASS		hd test audit/probes/claims/p45-partialeq-generic-nested.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p45-partialeq-generic-nested.hd: 1 passed
audit/probes/claims/p46-identity.hd	identity compares GC references; fieldless variants are canonical; payload variants are not	PASS		hd test audit/probes/claims/p46-identity.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p46-identity.hd: 1 passed
audit/probes/claims/p47-identity-primitive-rejected.hd	identity on primitives is rejected	PASS	identity-requires-references	hd check audit/probes/claims/p47-identity-primitive-rejected.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p47-identity-primitive-rejected.hd:3:5: identity-requires-references: identity comparison does not accept 'i32'
audit/probes/claims/p48-readonly-alias-shared.hd	a readonly alias observes writes through the mutable path (shared identity)	PASS		hd test audit/probes/claims/p48-readonly-alias-shared.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p48-readonly-alias-shared.hd: 1 passed
audit/probes/claims/p49-mutable-upgrade-rejected.hd	readonly values do not upgrade to mut	PASS	mutable-upgrade	hd check audit/probes/claims/p49-mutable-upgrade-rejected.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p49-mutable-upgrade-rejected.hd:6:30: mutable-upgrade: readonly type 'Counter' cannot be upgraded to 'mut:Counter'
audit/probes/claims/p50-readonly-root-write.hd	writing a field through a readonly root is rejected	PASS	readonly-root	hd check audit/probes/claims/p50-readonly-root-write.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p50-readonly-root-write.hd:6:5: readonly-root: field 'value' cannot be assigned through readonly type 'Counter'
audit/probes/claims/p51-contextual-enum.hd	contextual enum construction and patterns use the expected type	PASS		hd test audit/probes/claims/p51-contextual-enum.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p51-contextual-enum.hd: 1 passed
audit/probes/claims/p52-match-guard-coverage.hd	guards do not contribute to exhaustiveness	PASS	nonexhaustive-match	hd check audit/probes/claims/p52-match-guard-coverage.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p52-match-guard-coverage.hd:3:5: nonexhaustive-match: match does not cover: true
audit/probes/claims/p53-literal-match.hd	literal patterns for floats, strings and chars	PASS		hd test audit/probes/claims/p53-literal-match.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p53-literal-match.hd: 1 passed
audit/probes/claims/p54-propagation.hd	postfix ? propagates nil and Err; Ok and present values continue	PASS		hd test audit/probes/claims/p54-propagation.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p54-propagation.hd: 1 passed
audit/probes/claims/p55-must-use.hd	discarding a Result is rejected unless explicitly discarded	PASS	discarded-must-use-value	hd check audit/probes/claims/p55-must-use.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p55-must-use.hd:5:5: discarded-must-use-value: a value of type 'Result[i32,string]' must be used or explicitly discarded
audit/probes/claims/p56-must-use-test-block.hd	test blocks apply the same must-use rule	PASS	discarded-must-use-value	hd check audit/probes/claims/p56-must-use-test-block.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p56-must-use-test-block.hd:5:5: discarded-must-use-value: a value of type 'Result[i32,string]' must be used or explicitly discarded
audit/probes/claims/p57-closure-captures.hd	closures capture transitively and named local functions recurse	PASS		hd test audit/probes/claims/p57-closure-captures.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p57-closure-captures.hd: 1 passed
audit/probes/claims/p58-closure-provider-escape.hd	a closure keeps the lexical provider it captured after the with scope ends	PASS		hd test audit/probes/claims/p58-closure-provider-escape.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p58-closure-provider-escape.hd: 1 passed
audit/probes/claims/p59-lexical-override.hd	an inner with scope overrides and the outer provider is restored after it	PASS		hd test audit/probes/claims/p59-lexical-override.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p59-lexical-override.hd: 1 passed
audit/probes/claims/p60-missing-requirement.hd	calling a requirement-bearing function without a provider is rejected	PASS	missing-requirement	hd check audit/probes/claims/p60-missing-requirement.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p60-missing-requirement.hd:8:5: missing-requirement: call to 'read' requires Counter
audit/probes/claims/p61-multi-use-order.hd	multi-provider use returns providers in requested order	PASS		hd test audit/probes/claims/p61-multi-use-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p61-multi-use-order.hd: 1 passed
audit/probes/claims/p62-row-subtraction-restore.hd	subtracting a key from a generic row restores the lexical provider for that key	PASS		hd test audit/probes/claims/p62-row-subtraction-restore.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p62-row-subtraction-restore.hd: 1 passed
audit/probes/claims/p63-explain-requirements.hd	explain-requirements prints transitive paths (checked by CLI in ledger)	PASS		hd check audit/probes/claims/p63-explain-requirements.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p63-explain-requirements.hd: ok
audit/probes/claims/p64-context-spread.hd	reusable contexts spread left to right, later entries win	PASS		hd test audit/probes/claims/p64-context-spread.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p64-context-spread.hd: 1 passed
audit/probes/claims/p65-suspension-arg-order.hd	nested bang calls in arguments and short-circuiting keep left-to-right order	PASS		hd test audit/probes/claims/p65-suspension-arg-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p65-suspension-arg-order.hd: 1 passed
audit/probes/claims/p66-cold-construction.hd	an ordinary call to a suspending function is cold: the body runs only when driven	PASS		hd test audit/probes/claims/p66-cold-construction.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p66-cold-construction.hd: 1 passed
audit/probes/claims/p67-second-drive.hd	driving a completed suspension again panics	PASS	panic:suspension-invalid-state	hd check audit/probes/claims/p67-second-drive.hd && hd run audit/probes/claims/p67-second-drive.hd		suspension-invalid-state: runtime panic
audit/probes/claims/p68-readonly-cancel.hd	a readonly suspension cannot be cancelled	PASS	mutable-receiver-required	hd check audit/probes/claims/p68-readonly-cancel.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p68-readonly-cancel.hd:5:5: mutable-receiver-required: cancelling a stored suspension requires mut Suspend[T]
audit/probes/claims/p69-fn-bang-weakening.hd	fn! values weaken to fn(...) -> mut Suspend[T]	PASS		hd test audit/probes/claims/p69-fn-bang-weakening.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p69-fn-bang-weakening.hd: 1 passed
audit/probes/claims/p70-fn-bang-no-upgrade.hd	fn(...) -> mut Suspend[T] does not strengthen to fn!	PASS	type-mismatch	hd check audit/probes/claims/p70-fn-bang-no-upgrade.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p70-fn-bang-no-upgrade.hd:8:37: type-mismatch: expected fn!(i32)->i32, found fn(i32)->mut:Suspend[i32]
audit/probes/claims/p71-task-combinator.hd	all! reports the dedicated unsupported-task-combinator diagnostic	PASS	unsupported-task-combinator	hd check audit/probes/claims/p71-task-combinator.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p71-task-combinator.hd:7:10: unsupported-task-combinator: std.task.all! remains unavailable until its standard signature is resolved
audit/probes/claims/p72-block-on-nested.hd	block_on inside an active driver panics with suspension-nested-driver	PASS	panic:suspension-nested-driver	hd check audit/probes/claims/p72-block-on-nested.hd && hd run audit/probes/claims/p72-block-on-nested.hd		suspension-nested-driver: runtime panic
audit/probes/claims/p73-defer-order.hd	defer is LIFO and runs after the return value is evaluated, on break and continue	PASS		hd test audit/probes/claims/p73-defer-order.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p73-defer-order.hd: 2 passed
audit/probes/claims/p74-panic-skips-defer.hd	explicit panic reports its code (defer suites are skipped per the claim)	PASS	panic:explicit-panic	hd check audit/probes/claims/p74-panic-skips-defer.hd && hd run audit/probes/claims/p74-panic-skips-defer.hd		explicit-panic: runtime panic
audit/probes/claims/p75-trait-default-override.hd	default methods call other trait methods; explicit overrides take precedence, also dynamically	PASS		hd test audit/probes/claims/p75-trait-default-override.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p75-trait-default-override.hd: 1 passed
audit/probes/claims/p76-mut-self.hd	mut self methods require a mutable receiver	PASS	mutable-receiver-required	hd check audit/probes/claims/p76-mut-self.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p76-mut-self.hd:13:5: mutable-receiver-required: method 'bump' requires mutable access to Box
audit/probes/claims/p77-mut-self-dynamic-runs.hd	mut self dispatch through a mutable dynamic value mutates the receiver	PASS		hd test audit/probes/claims/p77-mut-self-dynamic-runs.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p77-mut-self-dynamic-runs.hd: 1 passed
audit/probes/claims/p78-supertrait-cycle.hd	supertrait cycles are rejected	PASS	supertrait-cycle	hd check audit/probes/claims/p78-supertrait-cycle.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p78-supertrait-cycle.hd:2:1: supertrait-cycle: trait 'A' participates in a supertrait cycle
audit/probes/claims/p79-ambiguous-method.hd	ambiguous dot lookup is rejected; trait qualification selects one	PASS	ambiguous-method	hd check audit/probes/claims/p79-ambiguous-method.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p79-ambiguous-method.hd:17:5: ambiguous-method: method 'name' is supplied by multiple traits
audit/probes/claims/p80-assoc-type.hd	associated type bindings specialize Self::Item projections	PASS		hd test audit/probes/claims/p80-assoc-type.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p80-assoc-type.hd: 1 passed
audit/probes/claims/p81-blanket.hd	blanket implementations dispatch through generic bounds and dynamic values	PASS		hd test audit/probes/claims/p81-blanket.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p81-blanket.hd: 1 passed
audit/probes/claims/p82-embedded-promotion.hd	embedded fields promote fields and inherent methods	PASS		hd test audit/probes/claims/p82-embedded-promotion.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p82-embedded-promotion.hd: 1 passed
audit/probes/claims/p83-iterator-impl.hd	a user Iterator implementation drives for loops and comprehensions	PASS		hd test audit/probes/claims/p83-iterator-impl.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p83-iterator-impl.hd: 1 passed
audit/probes/claims/p84-prelude-shadow.hd	prelude names cannot be shadowed by local bindings	PASS	prelude-name-shadow	hd check audit/probes/claims/p84-prelude-shadow.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p84-prelude-shadow.hd:3:5: prelude-name-shadow: local binding 'println' shadows a prelude name
audit/probes/claims/p85-private-leak.hd	a public function may not expose a private type	PASS	private-type-leak	hd check audit/probes/claims/p85-private-leak.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p85-private-leak.hd:5:5: private-type-leak: public function 'leak' exposes private type or trait 'Secret'
audit/probes/claims/p86-orphan-doc.hd	an unattached documentation comment is rejected	PASS	doc-comment-without-target	hd check audit/probes/claims/p86-orphan-doc.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p86-orphan-doc.hd:4:1: doc-comment-without-target: documentation comments must immediately precede a declaration or member at the same indentation
audit/probes/claims/p87-unused-local.hd	unused locals warn without failing compilation	PASS	unused-local-binding	hd check audit/probes/claims/p87-unused-local.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p87-unused-local.hd: ok
audit/probes/claims/p88-unreachable.hd	code after return warns	PASS	unreachable-code	hd check audit/probes/claims/p88-unreachable.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p88-unreachable.hd: ok
audit/probes/claims/p89-missing-display.hd	interpolating a type without Display is rejected	PASS	missing-display	hd check audit/probes/claims/p89-missing-display.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p89-missing-display.hd:6:8: missing-display: type 'Point' does not implement Display
audit/probes/claims/p90-resource-error.hd	std.resource.ResourceError is a generic Operation(E) | Disposed enum	PASS		hd test audit/probes/claims/p90-resource-error.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p90-resource-error.hd: 1 passed
audit/probes/claims/p91-f64-relational.hd	f64 relational operators compile and follow IEEE ordering	FAIL	STACK-TRACE	hd test audit/probes/claims/p91-f64-relational.hd	expected acceptance	file:///Users/hd/code/test/hd-lang/src/wasm.ts:23
audit/probes/claims/p92-primitive-bounds.hd	primitive values satisfy prelude PartialEq, PartialOrd and Display bounds	FAIL	missing-trait-implementation	hd test audit/probes/claims/p92-primitive-bounds.hd	expected acceptance	/Users/hd/code/test/hd-lang/audit/probes/claims/p92-primitive-bounds.hd:10:18: missing-trait-implementation: type 'i32' does not implement PartialEq
audit/probes/claims/p93-identity-mut-operands.hd	identity ignores access permission (05-expressions: mut does not change identity)	FAIL	identity-requires-references	hd test audit/probes/claims/p93-identity-mut-operands.hd	expected acceptance	/Users/hd/code/test/hd-lang/audit/probes/claims/p93-identity-mut-operands.hd:11:18: identity-requires-references: identity comparison does not accept 'mut:Box'
audit/probes/claims/p94-assert-needs-reason.hd	assert requires the reason argument	PASS	argument-count	hd check audit/probes/claims/p94-assert-needs-reason.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/p94-assert-needs-reason.hd:5:5: argument-count: assert expects condition and reason
audit/probes/claims/p95-positional-enum-payload.hd	enum payloads may be unnamed positional parameters (08-data-and-enums.md line 200)	FAIL	expected-token	hd test audit/probes/claims/p95-positional-enum-payload.hd	expected acceptance	/Users/hd/code/test/hd-lang/audit/probes/claims/p95-positional-enum-payload.hd:6:15: expected-token: expected ':', found ')'
audit/probes/claims/wat/f64-gt-minimal.hd	minimal f64 relational comparison (codegen probe)	PASS		hd check audit/probes/claims/wat/f64-gt-minimal.hd		/Users/hd/code/test/hd-lang/audit/probes/claims/wat/f64-gt-minimal.hd: ok
