id	source	claim	evidence	note
C086	MVP_PLAN:121-125;README:74-76	fn! values: ordinary calls construct, bang calls drive, weaken one way to fn(...) -> mut Suspend[T]	pr:p69-fn-bang-weakening.hd;pr:p70-fn-bang-no-upgrade.hd;tf:suspension/37-named-suspending-function-values-construct-stored-frames.hd;tf:suspension/40-lowered-suspension-constructor-does-not-upgrade.hd	
C087	MVP_PLAN:122-124	Capturing suspending closures are first-class and forward requirements	tf:suspension/38-suspending-closures-capture-values-in-gc-frames.hd;tf:suspension/39-suspending-closure-values-forward-requirements.hd	
C088	MVP_PLAN:126-129;README:77-78	Waker is a sealed dynamic value; chapter-11 fixture type-checks and executes	cf:typing/valid/requirements-and-suspension.hd;ex:typing/valid/requirements-and-suspension.hd	
C089	MVP_PLAN:130-133;README:199	Child Pending propagates to the parent; locals spill and resume	tf:suspension/13-child-pending-propagates-through-the-parent-frame-and-restores-locals.hd;tf:suspension/16-linear-suspension-frames-resume-across-multiple-child-sites.hd	
C090	MVP_PLAN:133-136;README:215-217	Suspension CFG keeps left-to-right order through arguments, short-circuit, branches, loops, guards	pr:p65-suspension-arg-order.hd;tf:suspension/18-cfg-suspension-lowering-preserves-nested-argument-order.hd;tf:suspension/21-cfg-suspension-lowering-preserves-match-bindings-and-suspending-guards.hd	
C091	MVP_PLAN:136-137;README:232-233	Started cancellation cancels the active child, then runs registered defer suites innermost first	gp:s3-cancel-order-3-frames.hd;gp:s3-cancel-lifo-within-frame.hd;gp:s3-cancel-unreached-defer.hd;cf:runtime/valid/cancellation-unwinds-nested-frames.hd	
C092	MVP_PLAN:137-139;README:221-223	Portable scenario cancels root while a named nested frame is pending	cf:runtime/valid/cancellation-unwinds-nested-frames.hd;cf:runtime/valid/cancellation-unwinds-suspending-closure.hd	
C093	MVP_PLAN:139-140;README:218-220	Trace ABI exposes construct/poll/ready/cancel events	cli:trace;tf:suspension/10-suspension-state-transitions-are-observable-through-the-trace-abi.hd	
C094	MVP_PLAN:140-141;README:224-226	pending-gate profile observes provider-backed pending and cancellation	cf:runtime/valid/cancellation-runs-defer.hd	
C095	MVP_PLAN:142-144;README:272	all! and race! receive unsupported-task-combinator	pr:p71-task-combinator.hd;tf:suspension/05-unresolved-race-task-combinator.hd	
C096	MVP_PLAN:146-148;README:210	assert preserves source argument order and traps on false	pr:p15-assert-arg-order.hd;tf:compiler/assert-failure-panics.hd	
C097	MVP_PLAN:148-152;README:211-214	assert_equal: structural equality incl. order-independent maps; nominal and generic PartialEq; missing-partial-eq	pr:p43-equality-structural.hd;cf:typing/invalid/assert-equal-non-eq.hd;tf:suspension/30-imported-assert-equal-compares-supported-structural-values.hd	
C098	MVP_PLAN:152	assert and assert_equal require the reason argument	tf:suspension/30-imported-assert-equal-compares-supported-structural-values-missing-partial-eq.hd;pr:p94-assert-needs-reason.hd	
C099	MVP_PLAN:154-158;README:262-266	Runtime failures cross the host with stable categories	pr:p21-overflow-panics.hd;pr:p22-min-div-neg-one.hd;pr:p23-div-zero.hd;pr:p26-shift.hd;pr:p27-list-bounds.hd;pr:p28-iter-list-growth.hd;pr:p74-panic-skips-defer.hd	
C100	MVP_PLAN:160-162;README:147-149	Erased generics with anyref ABI, primitive boxing (incl. NaN/-0/extremes), inference through optional/Result	pr:p41-generic-nan-negzero.hd;tf:compiler-types/generics/functions/inference-and-boxing.hd;tf:compiler-types/generics/option-result.hd	
C101	MVP_PLAN:162-163;README:150-151	Generic suspending functions retain boxed values and dictionaries across polls	tf:suspension/02-generic-suspending-functions-box-frame-arguments-and-unbox-direct-or-sto.hd;tf:suspension/03-generic-suspension-frames-retain-trait-dictionaries-across-child-polls.hd	
C102	MVP_PLAN:163-165;README:149	Higher-order generic callable adapters	tf:compiler-types/generics/callable-adapter.hd	
C103	MVP_PLAN:165-169;README:152-154	Traits: missing/mismatched/duplicate/ambiguous method checks, static dispatch, dynamic trait values	pr:p79-ambiguous-method.hd;tf:compiler-types/traits/diagnostics/missing-method.hd;tf:compiler-types/traits/diagnostics/mismatched-signature.hd;tf:compiler-types/traits/dispatch.hd	
C104	MVP_PLAN:169-170;README:193-194	Trait values as lexical providers and inside generic requirement packs	tf:compiler-types/traits/providers.hd	
C105	MVP_PLAN:170-173;README:179-182	Independent dictionaries for multiple bounds, forwarding, returned T recovery	tf:compiler-types/traits/multiple-bounds/dictionary-forwarding.hd;tf:compiler-types/traits/generic-bounds/dictionary-dispatch.hd	
C106	MVP_PLAN:173-174;README:172-173	Default methods lower per target, call other methods, explicit overrides win	pr:p75-trait-default-override.hd;tf:compiler-types/traits/defaults/override.hd	
C107	MVP_PLAN:175-177;README:177-178	Suspending trait methods: static, dynamic, bound, stored, default, cancellation	tf:compiler-types/traits/suspending-dispatch.hd;tf:compiler-types/traits/suspending-defaults.hd;tf:compiler-types/traits/suspending-cancel.hd	
C108	MVP_PLAN:177-179;README:155-156	mut self enforced through static, dynamic, default and bounded calls	pr:p76-mut-self.hd;pr:p77-mut-self-dynamic-runs.hd;tf:compiler-types/traits/mutable-errors/readonly-dynamic.hd	
C109	MVP_PLAN:179-180;README:207-209	std.resource.ResourceError[E] is a generic Operation(E) | Disposed enum	pr:p90-resource-error.hd;tf:compiler/56-imported-resourceerror-is-a-generic-wasm-gc-enum.hd	
C110	MVP_PLAN:180-181;README:157-160	Inherent methods share the direct ABI incl. mutable, suspending, generic and duplicate-member checks	tf:compiler-types/traits/inherent-methods.hd;cf:typing/invalid/duplicate-inherent-member.hd;tf:compiler/64-generic-methods-infer-and-erase-type-arguments.hd	
C111	MVP_PLAN:182-185;README:168-171	Embedded fields promote fields and methods; bodyless trait opt-in; mutable promotion rejected	pr:p82-embedded-promotion.hd;cf:typing/valid/embedded-trait-opt-in.hd;cf:typing/invalid/embedded-mut-trait-bodyless.hd	
C112	MVP_PLAN:188-189;README:161-162	Receiverless associated functions via Type::function	tf:compiler/66-associated-functions-use-qualified-static-calls.hd;tf:suspension/42-suspending-associated-functions-preserve-generic-results.hd	
C113	MVP_PLAN:189-192	Generic trait impls; explicit trait qualification resolves ambiguity; overlapping heads rejected	tf:compiler/69-trait-qualified-calls-select-ambiguous-methods.hd;tf:compiler/70-generic-trait-qualified-calls-select-an-instantiation.hd;tf:compiler/68-generic-implementation-heads-cannot-overlap.hd	
C114	MVP_PLAN:193-199;README:163-167	Blanket impls materialize dictionaries for dynamic values and bounds, incl. nested dictionaries	pr:p81-blanket.hd;tf:compiler/76-blanket-implementations-materialize-dynamic-and-bound-dictionaries.hd;tf:compiler/76-bounded-blanket-implementations-capture-erased-dictionaries.hd;tf:suspension/43-blanket-implementations-materialize-suspending-dictionaries.hd	
C115	MVP_PLAN:200-202	Associated type bindings specialize Self::Item and T::Item projections	pr:p80-assoc-type.hd;tf:compiler/72-associated-types-specialize-self-projections.hd	
C116	MVP_PLAN:203	Mutable bounds preserve root access and reject readonly arguments	tf:compiler/74-mutable-trait-bounds-preserve-root-access.hd;tf:compiler/74-mutable-trait-bounds-reject-readonly-roots.hd	
C117	MVP_PLAN:203-205	Supertraits reject cycles and require the parent implementation	pr:p78-supertrait-cycle.hd;cf:typing/invalid/supertrait-cycle.hd;tf:compiler/73-supertraits-reject-missing-parent-implementations.hd	
C118	MVP_PLAN:205-208;README:174-176	Generic supertraits substitute parent arguments; widening only to matching parent instantiation	tf:compiler/77-generic-supertraits-substitute-parent-arguments.hd;tf:compiler/77-generic-supertraits-reject-incompatible-upcasts.hd;tf:compiler/78-bounded-blanket-supertraits-capture-parent-dictionaries.hd	
C119	MVP_PLAN:208-211;README:187-189	Generic data: one erased layout, inferred or explicit type arguments	tf:compiler-types/data/generic/erased-layout.hd;cf:runtime/valid/generic-data-embedding.hd	
C120	MVP_PLAN:211-212;README:190-192	Generic enums with erased payloads and recursive fields	tf:compiler-types/enums/generic/erased-payloads.hd	
C121	MVP_PLAN:212-214;README:244-246	list[T]: literals, indexing, len, mutable append over growable storage	tf:compiler/28-mutable-lists-append-through-growable-wasm-gc-storage.hd;tf:compiler/28-mutable-lists-append-through-growable-wasm-gc-storage-mutable-receiver-required.hd	
C122	MVP_PLAN:214-216;README:250-252	Iterators: next yields T?, stays exhausted, partly consumed cursor continues in for	pr:p31-iter-exhausted.hd;cf:runtime/valid/list-iterator.hd	
C123	MVP_PLAN:216-218;README:252	Replacement is visible without invalidation; growth, insertion, removal invalidate	pr:p29-iter-map-replacement-ok.hd;pr:p28-iter-list-growth.hd;pr:p30-iter-map-remove.hd;cf:runtime/panic/map-iterator-invalidated.hd	
C124	MVP_PLAN:220-222;README:253-254	User Iterator[T] implementations drive for loops and comprehensions	pr:p83-iterator-impl.hd;tf:compiler/63-generic-iterator-traits-drive-for-loops-and-comprehensions.hd	
C125	MVP_PLAN:223-226;README:247-249	map[K,V]: insertion order, duplicate replacement, get/index lookup, remove, scalar/string keys	pr:p32-map-order.hd;tf:compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord.hd;cf:runtime/valid/map-insertion-order.hd	
C126	MVP_PLAN:227-232;README:183-186	== / != through explicit PartialEq and generic dictionaries; structural composites; no implicit data equality	pr:p45-partialeq-generic-nested.hd;pr:p43-equality-structural.hd;pr:p44-no-implicit-equality.hd	
C127	MVP_PLAN:233-236	PartialOrd: lexicographic tuples/lists, nil-first optionals, unordered float components make all four relational operators false	pr:p42-ordering-nan.hd;pr:p91-f64-relational.hd	f64 relational comparison crashes codegen (Binaryen parse error)
C128	MVP_PLAN:236-239	Comparison strategies nest through erased composites to element impls and bound dictionaries	pr:p45-partialeq-generic-nested.hd;cf:runtime/valid/partial-ordering-dispatch.hd;cf:runtime/valid/structural-ordering.hd	
C129	MVP_PLAN:241-245	Record/replay events carry a name-based site id that survives unrelated declaration insertion	s5:round-trip;s5:inserted-unrelated-before;s5:inserted-unrelated-between	
C130	MVP_PLAN:245-246	Replay rejects changed executed functions	s5:changed-executed-body;s5:changed-executed-main;s5:changed-executed-nonsuspending-helper	changed non-suspending helper replays silently with a new result (44); corroborates F-401
C131	MVP_PLAN:243 (source-derived code identity)	Replay accepts edits that do not change executed code (unexecuted helper, comment)	s5:changed-unexecuted-function;s5:comment-inside-executed	comment-only edit inside an executed function breaks replay
C132	MVP_PLAN:246	Replay rejects incompatible provider configurations	s5:host-changed-configuration	
C133	MVP_PLAN:245-247	Replay rejects missing and extra events	s5:missing-event;s5:extra-event	
C134	MVP_PLAN:250-252;README:228-229	Host replay restores recorded results without calling the host	s5:host-round-trip;s5:host-tampered-value-restored	
C135	MVP_PLAN:251-252	Replay checks recorded host arguments	s5:host-changed-argument;s5:host-tampered-argument	
C136	MVP_PLAN:252-255;README:97-98,230-231	Replay values: tagged integers, exact f64 bits incl. -0/inf/NaN, hex UTF-8	tf:suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd;tf:suspension/32-host-provider-polls-record-and-replay.hd	NaN/inf replay checked only in TS test (UNVERIFIED by CLI)
C137	MVP_PLAN:258-260;README:28-32	Every development command works through the packaged hd entrypoint	cli:trace;cli:explain-requirements;cli:dump-hir;cli:(start;s5:round-trip	
C138	README:5-6,270-272	Features outside the current slice receive stable diagnostics (MVP goal 5)	cov:unselected	see 2.1: 7 of 51 deferred cases get unsupported-*
C139	README:41	Indentation-sensitive lexing with spans and structured diagnostics	cf:parse/invalid/tab-indentation.hd;tf:frontend/13-tabs-and-inconsistent-dedents-are-rejected-by-the-lexer.hd	
C140	README:55	Recursive-descent parser accepts the chapter-02 core grammar (inline if/else, relative use paths, positional payloads)	cov:parse-gaps	5 parse/valid fixtures accepted by reference parser are rejected
C141	README:109	Lexical branch and loop scopes do not leak	tf:compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other-diagnostic.hd	
