# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/ledger.ts; date 2026-09-25T21:07:57.954Z
claim_id	source	claim	evidence	command	result	note
C011	spec 07:104 via README:48	A default may not refer to a later parameter	audit/probes/claims/p06-default-later-param-rejected.hd	hd check audit/probes/claims/p06-default-later-param-rejected.hd	verified	rejected, but reported as impure-parameter-default (misleading)
C012	MVP_PLAN:15-18;README:50-52	Varargs accept positional elements, one list spread, or a named list, incl. generic	audit/probes/claims/p09-varargs-forms.hd ; test/fixtures/compiler/08-homogeneous-varargs-lower-through-the-existing-list-abi.hd	hd test audit/probes/claims/p09-varargs-forms.hd ; hd run --entry main test/fixtures/compiler/08-homogeneous-varargs-lower-through-the-existing-list-abi.hd	verified	
C013	MVP_PLAN:17-18	Varargs work across suspending, static-trait and dynamic-trait calls	test/fixtures/compiler/12-varargs-work-in-suspending-and-trait-method-calls.hd	hd run --entry main test/fixtures/compiler/12-varargs-work-in-suspending-and-trait-method-calls.hd	verified	
C014	MVP_PLAN:18-19;README:53-54	First-class fn(T...) -> U values keep the list ABI	audit/probes/claims/p11-vararg-function-value.hd ; test/fixtures/compiler/09-first-class-vararg-functions-retain-their-calling-convention.hd	hd test audit/probes/claims/p11-vararg-function-value.hd ; hd run --entry main test/fixtures/compiler/09-first-class-vararg-functions-retain-their-calling-convention.hd	verified	
C015	MVP_PLAN:19-21;README:110-112	Data-field defaults are purity-checked and evaluated after explicit initializers	audit/probes/claims/p12-data-init-order.hd ; spec/conformance/typing/invalid/impure-data-default.hd ; test/fixtures/compiler/31-data-field-defaults-run-per-construction-after-explicit-fields.hd	hd test audit/probes/claims/p12-data-init-order.hd ; hd check spec/conformance/typing/invalid/impure-data-default.hd ; hd run --entry main test/fixtures/compiler/31-data-field-defaults-run-per-construction-after-explicit-fields.hd	verified	
C016	MVP_PLAN:21-23;README:112	Copy-update evaluates the source once, then replacements in source order, without defaults for copied fields	audit/probes/claims/p13-copy-update-order.hd	hd test audit/probes/claims/p13-copy-update-order.hd	verified	fixture 33 result is order-independent; probe uses a log
C017	MVP_PLAN:23	Copy-update constructs a fresh Wasm GC struct	audit/probes/claims/p14-copy-update-fresh-struct.hd	hd test audit/probes/claims/p14-copy-update-fresh-struct.hd	verified	
C018	MVP_PLAN:23-24;README:56	Functions and named function values execute	test/fixtures/compiler-types/callbacks/function-values.hd	hd run --entry main test/fixtures/compiler-types/callbacks/function-values.hd	verified	
C019	MVP_PLAN:24-25;README:130-133	Nested and recursive closures with inference and transitive captures	audit/probes/claims/p57-closure-captures.hd ; test/fixtures/compiler-types/closures/nested-captures.hd ; test/fixtures/compiler/62-nonrecursive-closures-infer-result-types-from-fallthrough-and-returns.hd	hd test audit/probes/claims/p57-closure-captures.hd ; hd run --entry main test/fixtures/compiler-types/closures/nested-captures.hd ; hd run --entry main test/fixtures/compiler/62-nonrecursive-closures-infer-result-types-from-fallthrough-and-returns.hd	verified	
C020	MVP_PLAN:25-27;README:79-80	Named local functions share the closure representation, recurse, capture, suspend and forward requirements	test/fixtures/compiler/64-named-local-functions-capture-enclosing-values-and-recurse.hd ; test/fixtures/suspension/44-named-local-suspending-functions-capture-recurse-and-forward-requirements.hd	hd run --entry main test/fixtures/compiler/64-named-local-functions-capture-enclosing-values-and-recurse.hd ; hd test test/fixtures/suspension/44-named-local-suspending-functions-capture-recurse-and-forward-requirements.hd	verified	
C021	MVP_PLAN:27-28;README:69-70	Explicit generic call lists with _ inference; partial lists rejected	spec/conformance/typing/valid/generic-argument-placeholder.hd ; spec/conformance/typing/invalid/partial-generic-arguments.hd ; spec/conformance/typing/invalid/unresolved-generic-placeholder.hd	hd check spec/conformance/typing/valid/generic-argument-placeholder.hd ; hd check spec/conformance/typing/invalid/partial-generic-arguments.hd ; hd check spec/conformance/typing/invalid/unresolved-generic-placeholder.hd	verified	
C022	MVP_PLAN:28;README:70-71	Contextually typed trailing callback blocks	test/fixtures/compiler-types/callbacks/trailing.hd ; spec/conformance/parse/invalid/two-trailing-blocks.hd	hd run --entry main test/fixtures/compiler-types/callbacks/trailing.hd ; hd parse spec/conformance/parse/invalid/two-trailing-blocks.hd	verified	
C023	MVP_PLAN:28-29;README:72-73	Stored callable fields keep their result permission through readonly outer access	test/fixtures/compiler-types/callbacks/readonly-result.hd ; spec/conformance/typing/valid/readonly-callable-mutable-result.hd	hd run --entry main test/fixtures/compiler-types/callbacks/readonly-result.hd ; hd check spec/conformance/typing/valid/readonly-callable-mutable-result.hd	verified	
C024	MVP_PLAN:29-30;README:110	Data lowers to GC structs; fieldless data to an empty GC struct	test/fixtures/compiler/25-data-declarations-lower-to-wasm-gc-structs.hd ; test/fixtures/compiler/35-fieldless-data-lowers-to-an-empty-wasm-gc-struct.hd	hd run --entry main test/fixtures/compiler/25-data-declarations-lower-to-wasm-gc-structs.hd ; hd run --entry main test/fixtures/compiler/35-fieldless-data-lowers-to-an-empty-wasm-gc-struct.hd	verified	
C025	MVP_PLAN:30-31;README:116-119	Shared enum constructor data via per-variant factories with pure ordered defaults	test/fixtures/compiler/17-shared-enum-data-uses-per-variant-factories-and-pure-ordered-defaults.hd ; spec/conformance/typing/invalid/impure-shared-enum-default.hd ; spec/conformance/typing/invalid/shared-enum-default-order.hd	hd run --entry main test/fixtures/compiler/17-shared-enum-data-uses-per-variant-factories-and-pure-ordered-defaults.hd ; hd check spec/conformance/typing/invalid/impure-shared-enum-default.hd ; hd check spec/conformance/typing/invalid/shared-enum-default-order.hd	verified	
C026	MVP_PLAN:32;README:120	Contextual enum construction and patterns	audit/probes/claims/p51-contextual-enum.hd ; test/fixtures/compiler/50-contextual-enum-variant-expressions-use-their-expected-type.hd	hd test audit/probes/claims/p51-contextual-enum.hd ; hd run --entry main test/fixtures/compiler/50-contextual-enum-variant-expressions-use-their-expected-type.hd	verified	
C027	MVP_PLAN:32-34;README:121-126	Guarded, literal and recursive data patterns; named payload bindings; nested payload constraints	audit/probes/claims/p53-literal-match.hd ; test/fixtures/compiler/37-data-patterns-destructure-nested-fields-and-test-literals.hd ; test/fixtures/compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name.hd ; test/fixtures/compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension-.hd	hd test audit/probes/claims/p53-literal-match.hd ; hd run --entry main test/fixtures/compiler/37-data-patterns-destructure-nested-fields-and-test-literals.hd ; hd run --entry main test/fixtures/compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name.hd ; hd run --entry main test/fixtures/compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension-.hd	verified	
C028	MVP_PLAN:34;README:99-100	Value-producing while and while-else	audit/probes/claims/p35-loop-else-values.hd ; test/fixtures/compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-broken.hd	hd test audit/probes/claims/p35-loop-else-values.hd ; hd run --entry main test/fixtures/compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-broken.hd	verified	
C029	MVP_PLAN:34-35;README:84	Checked integer power and IEEE floating power	audit/probes/claims/p24-power.hd ; audit/probes/claims/p25-power-overflow.hd	hd test audit/probes/claims/p24-power.hd ; hd check audit/probes/claims/p25-power-overflow.hd && hd run audit/probes/claims/p25-power-overflow.hd	verified	
C030	MVP_PLAN:35;README:81	char values carry Unicode scalars and compare in scalar order	test/fixtures/compiler/42-character-literals-carry-unicode-scalar-values-and-compare-in-scalar-ord.hd	hd run --entry main test/fixtures/compiler/42-character-literals-carry-unicode-scalar-values-and-compare-in-scalar-ord.hd	verified	
C031	MVP_PLAN:35;README:84-85	UTF-8 string concatenation and ordering	audit/probes/claims/p19-string-len-order.hd ; test/fixtures/compiler/40-strings-compare-by-utf-8-value-order.hd	hd test audit/probes/claims/p19-string-len-order.hd ; hd run --entry main test/fixtures/compiler/40-strings-compare-by-utf-8-value-order.hd	verified	
C032	MVP_PLAN:35-37;README:87-90	Interpolated segments use canonical Display in source order	audit/probes/claims/p16-interpolation-order.hd ; test/fixtures/compiler/39-string-interpolation-displays-built-ins-left-to-right.hd	hd test audit/probes/claims/p16-interpolation-order.hd ; hd run --entry main test/fixtures/compiler/39-string-interpolation-displays-built-ins-left-to-right.hd	verified	
C033	MVP_PLAN:37-38	Primitive Display uses shortest-round-trip float formatting	audit/probes/claims/p17-float-display.hd ; spec/conformance/runtime/valid/float-display.hd	hd test audit/probes/claims/p17-float-display.hd ; hd check spec/conformance/runtime/valid/float-display.hd && hd test spec/conformance/runtime/valid/float-display.hd	verified	
C034	MVP_PLAN:38-40;README:88	Generic bounds reuse ordinary Display dispatch (incl. standard primitive implementations)	audit/probes/claims/p92-primitive-bounds.hd	hd test audit/probes/claims/p92-primitive-bounds.hd	contradicted	primitives fail T: Display, T: PartialEq, T: PartialOrd bounds
C035	MVP_PLAN:39-40;README:89	Dynamic Display values dispatch through trait paths	spec/conformance/runtime/valid/display-dispatch.hd	hd check spec/conformance/runtime/valid/display-dispatch.hd && hd test spec/conformance/runtime/valid/display-dispatch.hd	verified	
C036	MVP_PLAN:40-42;README:241-242	string.split keeps empty pieces and splits an empty separator at scalar boundaries	audit/probes/claims/p18-split.hd ; test/fixtures/compiler/65-string-split-preserves-boundaries-and-unicode-scalars.hd	hd test audit/probes/claims/p18-split.hd ; hd run --entry separated test/fixtures/compiler/65-string-split-preserves-boundaries-and-unicode-scalars.hd && hd run --entry scalars test/fixtures/compiler/65-string-split-preserves-boundaries-and-unicode-scalars.hd && hd run --entry empty_input test/fixtures/compiler/65-string-split-preserves-boundaries-and-unicode-scalars.hd	verified	
C037	MVP_PLAN:42-44;README:91-93	println needs a lexical Console provider and streams UTF-8	test/fixtures/suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo.hd ; test/fixtures/suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo-missing-requirement.hd	hd check test/fixtures/suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo.hd ; hd check test/fixtures/suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo-missing-requirement.hd	verified	
C038	MVP_PLAN:45;README:118	Numeric access to unnamed shared enum fields	test/fixtures/compiler/41-strings-concatenate-and-unnamed-enum-fields-use-numeric-selectors.hd	hd run --entry main test/fixtures/compiler/41-strings-concatenate-and-unnamed-enum-fields-use-numeric-selectors.hd	verified	
C039	MVP_PLAN:45-47;README:85,119	Reference identity via ref.eq; sealed Reference bounds; canonical fieldless variants	audit/probes/claims/p46-identity.hd ; test/fixtures/compiler-types/identity/references/gc-identity.hd ; spec/conformance/typing/invalid/unbounded-generic-identity.hd	hd test audit/probes/claims/p46-identity.hd ; hd run --entry main test/fixtures/compiler-types/identity/references/gc-identity.hd ; hd check spec/conformance/typing/invalid/unbounded-generic-identity.hd	verified	
C040	spec 05:356-371 (README:85)	Identity is unaffected by mut access permission	audit/probes/claims/p93-identity-mut-operands.hd	hd test audit/probes/claims/p93-identity-mut-operands.hd	contradicted	mut operands rejected with identity-requires-references/type-mismatch
C041	MVP_PLAN:47-49;README:113-115	mut T weakens only toward T; readonly roots and edges checked	audit/probes/claims/p48-readonly-alias-shared.hd ; audit/probes/claims/p49-mutable-upgrade-rejected.hd ; audit/probes/claims/p50-readonly-root-write.hd ; spec/conformance/typing/invalid/missing-mutable-edge.hd	hd test audit/probes/claims/p48-readonly-alias-shared.hd ; hd check audit/probes/claims/p49-mutable-upgrade-rejected.hd ; hd check audit/probes/claims/p50-readonly-root-write.hd ; hd check spec/conformance/typing/invalid/missing-mutable-edge.hd	verified	
C042	MVP_PLAN:49	Direct-versus-generic field permission rule at construction and access	spec/conformance/typing/valid/generic-field-permission.hd ; spec/conformance/typing/invalid/readonly-generic-field-init.hd	hd check spec/conformance/typing/valid/generic-field-permission.hd ; hd check spec/conformance/typing/invalid/readonly-generic-field-init.hd	verified	
C043	MVP_PLAN:50;README:115	Field writes lower through mutable struct fields	test/fixtures/compiler/26-mutable-data-paths-weaken-one-way-and-share-wasm-gc-identity.hd	hd run --entry main test/fixtures/compiler/26-mutable-data-paths-weaken-one-way-and-share-wasm-gc-identity.hd	verified	
C044	MVP_PLAN:50-51;README:82-83	Heterogeneous tuples keep exact element types and erased array storage	audit/probes/claims/p36-tuple-binding-once.hd ; test/fixtures/compiler-types/tuples/heterogeneous/gc-storage.hd	hd test audit/probes/claims/p36-tuple-binding-once.hd ; hd run --entry main test/fixtures/compiler-types/tuples/heterogeneous/gc-storage.hd	verified	
C045	MVP_PLAN:51-52	Simultaneous tuple bindings stage the initializer once	audit/probes/claims/p36-tuple-binding-once.hd	hd test audit/probes/claims/p36-tuple-binding-once.hd	verified	
C046	MVP_PLAN:53-55;README:106-108	Binding expressions evaluate once, bind in the enclosing scope, diagnose conditional uses	audit/probes/claims/p37-binding-conditional-use.hd ; test/fixtures/compiler/61-binding-expressions-return-values-and-bind-in-enclosing-scope.hd ; spec/conformance/typing/invalid/possibly-uninitialized-binding.hd	hd check audit/probes/claims/p37-binding-conditional-use.hd ; hd run --entry main test/fixtures/compiler/61-binding-expressions-return-values-and-bind-in-enclosing-scope.hd ; hd check spec/conformance/typing/invalid/possibly-uninitialized-binding.hd	verified	
C047	MVP_PLAN:56-57;README:101-102	for loops evaluate the iterable once, keep map insertion order, bind tuples, support loop-else	audit/probes/claims/p32-map-order.hd ; audit/probes/claims/p35-loop-else-values.hd ; test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va.hd	hd test audit/probes/claims/p32-map-order.hd ; hd test audit/probes/claims/p35-loop-else-values.hd ; hd run --entry main test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va.hd	verified	
C048	MVP_PLAN:58-60;README:103-105	Comprehensions: left-to-right nested clauses, filters, duplicate map-key replacement	audit/probes/claims/p33-comprehension-order.hd ; test/fixtures/compiler/60-comprehensions-lower-nested-filters-and-map-replacement.hd	hd test audit/probes/claims/p33-comprehension-order.hd ; hd run --entry main test/fixtures/compiler/60-comprehensions-lower-nested-filters-and-map-replacement.hd	verified	
C049	MVP_PLAN:60-61;README:105	Suspension calls in comprehensions get suspension-forbidden-context	audit/probes/claims/p34-comprehension-suspension.hd ; test/fixtures/compiler/60-comprehensions-reject-suspension-calls.hd	hd check audit/probes/claims/p34-comprehension-suspension.hd ; hd check test/fixtures/compiler/60-comprehensions-reject-suspension-calls.hd	verified	
C050	MVP_PLAN:61-63;README:246	Mutable list/map roots support indexed replacement; readonly roots keep element permissions	test/fixtures/compiler/27-mutable-list-and-map-roots-support-indexed-replacement.hd ; spec/conformance/typing/invalid/readonly-list-element-replacement.hd ; spec/conformance/typing/invalid/readonly-map-entry-replacement.hd	hd run --entry main test/fixtures/compiler/27-mutable-list-and-map-roots-support-indexed-replacement.hd ; hd check spec/conformance/typing/invalid/readonly-list-element-replacement.hd ; hd check spec/conformance/typing/invalid/readonly-map-entry-replacement.hd	verified	
C051	MVP_PLAN:64;README:127-129	Optional/Result propagation with ?	audit/probes/claims/p54-propagation.hd ; test/fixtures/compiler/54-optionals-inject-plain-values-match-both-cases-and-propagate-nil.hd	hd test audit/probes/claims/p54-propagation.hd ; hd run --entry main test/fixtures/compiler/54-optionals-inject-plain-values-match-both-cases-and-propagate-nil.hd	verified	
C052	MVP_PLAN:64;README:243	Non-suspending defer runs LIFO after the return value, on break and continue	audit/probes/claims/p73-defer-order.hd ; spec/conformance/runtime/valid/defer-order.hd	hd test audit/probes/claims/p73-defer-order.hd ; hd check spec/conformance/runtime/valid/defer-order.hd && hd test spec/conformance/runtime/valid/defer-order.hd	verified	
C053	MVP_PLAN:65-67	Warnings unreachable-code, unused-local, variant-binding-name-mismatch are non-fatal	audit/probes/claims/p87-unused-local.hd ; audit/probes/claims/p88-unreachable.hd ; spec/conformance/typing/warnings/variant-binding-name-mismatch.hd	hd check audit/probes/claims/p87-unused-local.hd ; hd check audit/probes/claims/p88-unreachable.hd ; hd check spec/conformance/typing/warnings/variant-binding-name-mismatch.hd	verified	
C054	MVP_PLAN:67-68;README:259	Complete prelude namespace protected from declaration and binding shadowing	audit/probes/claims/p84-prelude-shadow.hd ; spec/conformance/typing/invalid/prelude-shadow.hd ; test/fixtures/compiler/19-shadow-result.hd	hd check audit/probes/claims/p84-prelude-shadow.hd ; hd check spec/conformance/typing/invalid/prelude-shadow.hd ; hd check test/fixtures/compiler/19-shadow-result.hd	verified	
C055	MVP_PLAN:68-69;README:62-63	Public signatures reject private type and requirement leaks	audit/probes/claims/p85-private-leak.hd ; spec/conformance/typing/invalid/private-requirement-row.hd	hd check audit/probes/claims/p85-private-leak.hd ; hd check spec/conformance/typing/invalid/private-requirement-row.hd	verified	
C056	MVP_PLAN:69-70;README:63-65	Public main rows checked against the Console host profile	spec/conformance/typing/invalid/nonhost-entry-requirement.hd ; spec/conformance/typing/valid/host-entry-requirement.hd	hd check spec/conformance/typing/invalid/nonhost-entry-requirement.hd ; hd check spec/conformance/typing/valid/host-entry-requirement.hd	verified	
C057	MVP_PLAN:71-74;README:66-68	Test blocks are checked as driver bodies with the same must-use rules and emitted as __hd_test_N exports	audit/probes/claims/p56-must-use-test-block.hd ; audit/evidence/02-claims/cli.log	hd check audit/probes/claims/p56-must-use-test-block.hd ; see cli.log (__hd_test_0)	verified	
C058	MVP_PLAN:74-77	Curated gate asserts stable diagnostics and executes panic cases through Wasm GC	audit/evidence/02-coverage/selected.tsv (209 all)	node --experimental-strip-types audit/scripts/coverage/runner.ts conformance test/portable/cases.tsv	verified	
C059	MVP_PLAN:78-80;README:57-59	Module bindings lower to typed globals; functions can reassign top-level let	audit/probes/claims/p40-module-reassign.hd ; test/fixtures/suspension/31-module-bindings-lower-to-wasm-globals-shared-with-declared-functions.hd	hd test audit/probes/claims/p40-module-reassign.hd ; hd check test/fixtures/suspension/31-module-bindings-lower-to-wasm-globals-shared-with-declared-functions.hd	verified	
C060	MVP_PLAN:80-81;README:59-60	Source-order visibility of module bindings in function bodies	spec/conformance/typing/invalid/forward-module-binding.hd	hd check spec/conformance/typing/invalid/forward-module-binding.hd	verified	
C061	MVP_PLAN:81-83;README:60	Top-level initializers are checked for transitive reads before initialization	audit/probes/claims/p39-module-transitive-read.hd ; spec/conformance/typing/invalid/transitive-uninitialized-binding.hd	hd check audit/probes/claims/p39-module-transitive-read.hd ; hd check spec/conformance/typing/invalid/transitive-uninitialized-binding.hd	verified	
C062	MVP_PLAN:83-85;README:60-61	A start function runs module initialization exactly once before main	audit/probes/claims/p38-module-init-once.hd ; audit/evidence/02-claims/cli.log ; spec/conformance/runtime/valid/module-initialization-before-main.hd	hd test audit/probes/claims/p38-module-init-once.hd ; see cli.log ((start) ; hd check spec/conformance/runtime/valid/module-initialization-before-main.hd && hd test spec/conformance/runtime/valid/module-initialization-before-main.hd	verified	
C063	MVP_PLAN:86-87;README:273-274	Unsupported interpolated values receive missing-display	audit/probes/claims/p89-missing-display.hd ; test/fixtures/compiler/display-requires-implementation.hd	hd check audit/probes/claims/p89-missing-display.hd ; hd check test/fixtures/compiler/display-requires-implementation.hd	verified	
C064	MVP_PLAN:86-89;README:134-138	Concrete row normalization and hidden provider threading with $.use and lexical $.with overrides	audit/probes/claims/p59-lexical-override.hd ; test/fixtures/requirements/lexical-override.hd ; test/fixtures/compiler-types/requirements/normalization/grouped.hd	hd test audit/probes/claims/p59-lexical-override.hd ; hd check test/fixtures/requirements/lexical-override.hd ; hd check test/fixtures/compiler-types/requirements/normalization/grouped.hd	verified	
C065	MVP_PLAN:89;README:195-196	Reusable GC-backed contexts and left-to-right context spreads	audit/probes/claims/p64-context-spread.hd ; test/fixtures/compiler-types/requirements/contexts.hd	hd test audit/probes/claims/p64-context-spread.hd ; hd run --entry main test/fixtures/compiler-types/requirements/contexts.hd	verified	
C066	MVP_PLAN:89;README:137	Ordered multi-provider tuple lookup	audit/probes/claims/p61-multi-use-order.hd ; test/fixtures/suspension/28-multi-provider-use-preserves-requested-tuple-order-through-wasm-gc.hd	hd test audit/probes/claims/p61-multi-use-order.hd ; hd run --entry main test/fixtures/suspension/28-multi-provider-use-preserves-requested-tuple-order-through-wasm-gc.hd	verified	
C067	MVP_PLAN:90-91;README:132-133	Escaping closures keep captured lexical providers	audit/probes/claims/p58-closure-provider-escape.hd ; test/fixtures/compiler-types/closures/provider-captures.hd	hd test audit/probes/claims/p58-closure-provider-escape.hd ; hd run --entry main test/fixtures/compiler-types/closures/provider-captures.hd	verified	
C068	MVP_PLAN:91-92;README:139-140	Requirement-bearing closure types with least-row inference	test/fixtures/compiler-types/closures/requirement-inference/inferred-row.hd ; test/fixtures/compiler-types/closures/requirements.hd	hd run --entry main test/fixtures/compiler-types/closures/requirement-inference/inferred-row.hd ; hd run --entry main test/fixtures/compiler-types/closures/requirements.hd	verified	
C069	MVP_PLAN:92;README:134-135	Transitive requirement-path explanations	audit/evidence/02-claims/cli.log ; test/fixtures/requirements/transitive-call-paths.hd	see cli.log (explain-requirements) ; hd check test/fixtures/requirements/transitive-call-paths.hd	verified	
C070	MVP_PLAN:92-94;README:141-143	Generic row inference, least-row union, symbolic subtraction, provider packs	test/fixtures/compiler-types/requirements/row-union.hd ; test/fixtures/compiler-types/requirements/row-pack.hd ; spec/conformance/typing/valid/row-subtraction-entailment.hd ; spec/conformance/typing/invalid/row-subtraction-unsound.hd	hd run --entry main test/fixtures/compiler-types/requirements/row-union.hd ; hd run --entry main test/fixtures/compiler-types/requirements/row-pack.hd ; hd check spec/conformance/typing/valid/row-subtraction-entailment.hd ; hd check spec/conformance/typing/invalid/row-subtraction-unsound.hd	verified	
C071	MVP_PLAN:94;README:143	Lexical restoration of a subtracted key	audit/probes/claims/p62-row-subtraction-restore.hd ; test/fixtures/compiler-types/requirements/row-subtraction/provider-restoration.hd	hd test audit/probes/claims/p62-row-subtraction-restore.hd ; hd run --entry main test/fixtures/compiler-types/requirements/row-subtraction/provider-restoration.hd	verified	
C072	MVP_PLAN:95	Repeated-row mismatch checking	test/fixtures/compiler-types/requirements/row-inference/conflicting-row.hd	hd check test/fixtures/compiler-types/requirements/row-inference/conflicting-row.hd	verified	
C073	MVP_PLAN:95-96;README:144	Non-fatal requirement-subtract-absent warning	spec/conformance/typing/warnings/requirement-subtract-absent.hd	hd check spec/conformance/typing/warnings/requirement-subtract-absent.hd	verified	
C074	MVP_PLAN:96-98;README:145-146	Erased generic marker traits as provider keys; collisions under substitution rejected	spec/conformance/typing/invalid/generic-requirement-key-collision.hd ; spec/conformance/typing/valid/distinct-requirement-keys.hd ; test/fixtures/compiler-types/requirements/generic-provider-keys/consistent-substitution.hd	hd check spec/conformance/typing/invalid/generic-requirement-key-collision.hd ; hd check spec/conformance/typing/valid/distinct-requirement-keys.hd ; hd check test/fixtures/compiler-types/requirements/generic-provider-keys/consistent-substitution.hd	verified	
C075	MVP_PLAN:101-102	Runtime profiles admit fixture-defined host capability traits as dynamic trait values	test/fixtures/suspension/32-host-provider-polls-record-and-replay.hd ; spec/conformance/runtime/valid/cancellation-runs-defer.hd	hd test --profile ready-gate test/fixtures/suspension/32-host-provider-polls-record-and-replay.hd ; hd check --profile pending-gate spec/conformance/runtime/valid/cancellation-runs-defer.hd && hd test --scenario cancellation-cleanup --profile pending-gate spec/conformance/runtime/valid/cancellation-runs-defer.hd	verified	
C076	MVP_PLAN:102-104;README:94-96,227-229	Suspending host methods pass i32/f64/bool/char/string arguments and results	test/fixtures/suspension/33-host-provider-scalar-arguments-and-results.hd ; test/fixtures/suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd ; test/fixtures/suspension/36-host-provider-strings-use-utf8-boundary.hd ; audit/evidence/02-claims/host-token.log ; audit/evidence/02-claims/host-token.log ; audit/evidence/02-claims/host-token.log	hd test --profile ready-counter test/fixtures/suspension/33-host-provider-scalar-arguments-and-results.hd ; hd test --profile ready-float test/fixtures/suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd ; hd test --profile ready-text test/fixtures/suspension/36-host-provider-strings-use-utf8-boundary.hd ; node --experimental-strip-types audit/scripts/coverage/host-token.ts	verified	bool/char checked via Node API probe host-token.ts
