F-254	minor	coverage		`type` declarations and local type/impl declarations are rejected as syntax errors	F-254-type-and-local-declarations-unsupported.md
F-255	minor	coverage		Prelude names `Any`, `Eq`, `Hash`, and `Hasher` are unknown	F-255-prelude-surface-gaps.md
F-256	minor	coverage		Row-kinded generic data arguments such as `Job[$()]` fail to parse	F-256-row-kinded-arguments-unparsed.md
F-257	minor	coverage	F-352, F-357	`mut fn` closures are unsupported, and assigning a captured `let` reports `unknown-name`	F-257-mut-fn-closures-unsupported.md
F-258	minor	correctness		Mixed-permission list literal reports `no-common-type` instead of `no-least-common-type`	F-258-least-common-type-code.md
F-259	minor	test-integrity		The `disposed-file` runtime profile named in spec/conformance/README.md does not exist	F-259-disposed-file-profile-missing.md
F-260	note	coverage		`typing/valid/traits.hd` passes but is not selected	F-260-traits-fixture-passing-unselected.md
F-261	major	correctness	F-353	`is` rejects operands with `mut` access	F-261-identity-rejects-mut-operands.md
F-262	blocker	correctness	F-160	Any `f64` `<`, `<=`, `>`, or `>=` crashes code generation	F-262-f64-relational-codegen-crash.md
F-263	major	correctness	F-350, F-500	Primitive types do not satisfy `PartialEq`, `PartialOrd`, or `Display` bounds	F-263-primitives-fail-prelude-bounds.md
F-264	minor	runtime	F-611	A comment inside an executed function invalidates a recorded replay	F-264-replay-code-identity-includes-comments.md
F-265	minor	architecture	F-162	Replay rejection and several CLI errors exit through uncaught JavaScript exceptions	F-265-cli-uncaught-exceptions.md
F-266	minor	test-integrity	F-210	Evaluation-order fixtures return the same value under any evaluation order	F-266-order-fixtures-cannot-observe-order.md
F-267	minor	spec	F-356	A default that reads a later parameter is reported as impure	F-267-later-parameter-default-code.md
F-268	note	test-integrity		`typing/valid/explicit-generic-method.hd` panics when executed	F-268-typing-fixture-panics-when-run.md
F-300	major	spec		Reference parser rejects `fn() -> fn() -> T` unless a requirement clause is present	F-300-ref-parser-nested-function-type.md
F-301	major	spec	F-206	Reference parser rejects `\u{...}` escapes that chapter 01 defines	F-301-ref-parser-unicode-escape.md
F-302	major	spec	F-360, found independently by the fuzzer	Reference parser applies argument-order to context entries and rejects the chapter 11 example	F-302-ref-parser-context-entry-order.md
F-303	minor	spec	F-206	Reference parser accepts an unescaped `$` that does not start an interpolation	F-303-ref-parser-lone-dollar.md
F-304	major	correctness		`hd check` does not check `Ok`/`Err` payloads against the expected Result type	F-304-result-constructor-payload-unchecked.md
F-305	major	correctness	F-559	`_ := f()?` on `Result[void, E]` emits WAT that Binaryen cannot parse	F-305-discard-void-propagation-invalid-wat.md
F-306	minor	correctness		`hd run` and `hd test` crash with a stack trace when there is no entry point	F-306-run-without-main-crashes.md
F-307	major	correctness		A `main` returning `Result[void, E]` passes check but cannot run	F-307-result-main-not-runnable.md
F-308	minor	correctness		A non-`pub` `main` with a non-host requirement passes check and crashes `run`	F-308-private-main-requirement-crash.md
F-309	major	correctness	F-252	hd rejects same-line `if c: a else: b`, a form chapter 01 uses as an example	F-309-same-line-if-else-rejected.md
F-310	minor	correctness		A line starting with `:` is parsed as a trailing block on the previous statement	F-310-colon-line-attaches-trailing-block.md
F-311	minor	correctness		hd accepts a bracketed nested suite whose body is not indented past its header	F-311-continuation-suite-indentation.md
F-312	minor	correctness	F-405 and F-250	Every decorator is rejected as `decorator-not-top-level`, even at top level	F-312-decorators-misreported.md
F-313	major	spec		The normative diagnostic inventory omits most codes that hd and the reference parser emit	F-313-diagnostic-inventory-incomplete.md
F-314	note	spec		The EBNF derives same-line suite forms that layout processing cannot produce	F-314-grammar-layout-mismatch.md
F-315	note	correctness		Grammar-valid forms are rejected at parse with generic codes, not unsupported diagnostics	F-315-grammar-valid-forms-generic-codes.md
F-316	minor	correctness		A `pub fn` inside an inherent `impl` is rejected with `doc-comment-without-target`	F-316-pub-inherent-method-false-doc-comment.md
F-350	major	correctness		Primitives do not satisfy `T: Display` and cannot become `Display` trait values	F-350-primitives-miss-display-bound-and-trait-values.md
F-351	major	correctness		A plain `fn` closure may mutate through a captured `mut` value	F-351-plain-closure-mutates-captures.md
F-352	minor	coverage		`mut fn` closure literals do not parse	F-352-mut-fn-closure-literal-unparsed.md
F-353	minor	correctness		`is` rejects operands whose static type is `mut T`	F-353-identity-rejects-mut-operands.md
F-354	minor	correctness		Readonly `map[K, V]` is not covariant in `V`	F-354-map-value-covariance-missing.md
F-355	minor	correctness		`string.trim()` removes U+FEFF and keeps U+0085	F-355-trim-uses-host-whitespace-set.md
F-356	note	spec		A default that names a later parameter reports a code outside the spec inventory	F-356-later-parameter-default-code.md
F-357	note	correctness		Assigning captured `let` storage in a plain closure reports `unknown-name`	F-357-closure-let-assignment-unknown-name.md
F-358	minor	spec		The reference parser rejects a string literal inside `${...}`	F-358-reference-parser-string-in-interpolation.md
F-359	minor	spec		The reference parser flags `g(f(a=1, b=2), 3)` as `argument-order`	F-359-reference-parser-nested-named-arguments.md
F-360	minor	spec		The reference parser rejects `$.with(Tag=x, ...ctx)`	F-360-reference-parser-context-spread-order.md
F-361	note	spec		Is a payload-free variant with shared enum data canonical for `is`?	F-361-shared-data-variant-identity.md
F-400	major	correctness		Strings that start with U+FEFF lose it at the host boundary	F-400-host-strings-drop-leading-bom.md
F-401	minor	runtime		Replay accepts a changed body in an executed non-suspending function	F-401-replay-accepts-changed-callee.md
F-402	minor	runtime		`hd replay` accepts a history recorded under a different runtime profile	F-402-cli-provider-configuration-constant.md
F-403	major	runtime		`hd test` runs `main` and every test block in one shared instance	F-403-test-blocks-share-one-instance.md
F-404	minor	runtime		`hd record` writes no history when the run panics or never finishes	F-404-failing-runs-leave-no-history.md
F-405	minor	correctness		Every decorator is rejected as "only valid on top-level declarations"	F-405-decorator-message-says-not-top-level.md
F-406	note	spec		Four stable panic categories have no producer, and one panic has no category	F-406-panic-categories-without-producer.md
F-500	major	correctness		Primitives do not satisfy `T: PartialEq` or `T: PartialOrd`	F-500-primitives-miss-comparison-bounds.md
F-501	major	runtime		`map[K, V]` is an unhashed association list with O(n) get and insert	F-501-map-is-linear-association-list.md
F-502	major	runtime		Bounded generic calls rebuild dictionaries and allocate a trait value per method call	F-502-bounded-calls-allocate-dictionaries.md
F-503	minor	runtime		String interpolation lowers to pairwise concatenation and re-allocates literals	F-503-interpolation-pairwise-concat.md
F-504	minor	runtime		The optional carrier allocates for every `nil`, every loop step, and every map get	F-504-optional-carrier-allocations.md
F-505	note	architecture		`list[i32]` stores boxes even in concrete code, so every store allocates	F-505-concrete-lists-rebox-elements.md
F-506	note	runtime		Suspension frames keep every local, including dead temporaries and heap references	F-506-frames-retain-dead-locals.md
F-550	major	runtime		row-generic callback adapter copies the whole provider pack once per lookup	F-550-row-adapter-copies-pack-per-lookup.md
F-551	minor	runtime		`$hd.provider_concat(left, null)` copies the left pack instead of sharing it	F-551-provider-concat-copies-left-pack.md
F-552	major	architecture		suspension lowering code size grows super-linearly with bang-call sites	F-552-suspension-frame-code-size-superlinear.md
F-553	minor	runtime		resume and CFG dispatch use linear `if` chains instead of `br_table`	F-553-linear-state-dispatch.md
F-554	minor	runtime		a `fn!` call that completes immediately costs about 13x a plain call, and -O2 does not help	F-554-immediate-fn-bang-costs-13x.md
F-555	minor	runtime		the `main` entry export busy-polls forever when a host provider stays pending	F-555-entry-drive-spins-on-pending.md
F-556	note	runtime		after a panic inside a drive, later drives report `suspension-competing-driver`	F-556-driver-guard-stuck-after-panic.md
F-557	minor	architecture		every module embeds the full runtime library, used or not	F-557-runtime-library-always-inlined.md
F-558	minor	runtime		strings cross the host boundary one byte per import call	F-558-string-boundary-byte-per-call.md
F-559	minor	correctness		two type-checked fixtures crash Wasm emission with an internal error	F-559-checked-programs-crash-emission.md
F-560	minor	architecture		every CLI command loads binaryen.js, which dominates the edit loop	F-560-cli-always-loads-binaryen.md
F-600	minor	correctness		explain-requirements skips 23 HIR kinds and reports real uses as "declared"	F-600-explain-requirements-skips-hir-kinds.md
F-601	minor	correctness		explain-requirements shows closure-routed requirements as a direct `$.use`	F-601-explain-requirements-closure-paths.md
F-602	major	architecture		Module-initialization check takes exponential time on call DAGs	F-602-module-init-check-exponential.md
F-603	major	correctness		Initialization check misses generic-bound and dynamic trait dispatch	F-603-module-init-misses-trait-dispatch.md
F-604	minor	architecture		Checking nested unannotated closures doubles in time per nesting level	F-604-nested-closure-inference-exponential.md
F-605	minor	architecture		Error recovery stops at the first parse error and the first error per function	F-605-error-recovery-limits.md
F-606	minor	correctness		Diagnostics inside `${...}` interpolation are reported at 1:1	F-606-interpolation-diagnostic-location.md
F-607	note	architecture		HIR types are strings that the emitter re-parses, with nominal types keyed by bare name	F-607-hir-types-are-strings.md
F-608	note	architecture		Program-wide numbering makes one inserted declaration rewrite half the WAT	F-608-order-dependent-numbering.md
F-609	note	architecture		Desugaring is split between checker and emitter, and control flow is lowered three times	F-609-lowering-split-and-triplicated.md
F-610	note	architecture		Expression dispatch is split into `??` chains, so missing kinds fail only at runtime	F-610-dispatch-chains-defeat-exhaustiveness.md
F-611	note	runtime		Replay code identity changes on whitespace or comment edits inside a function	F-611-replay-identity-formatting.md
F-612	note	architecture		explain-requirements prints every call path, so output grows exponentially	F-612-explain-requirements-path-explosion.md
F-700	major	correctness		Optional `?` inside a closure emits WAT that Binaryen cannot parse	F-700-closure-propagation-invalid-wat.md
F-701	minor	correctness		A generic function cannot be used as a value, even when its type arguments are known	F-701-generic-function-value-rejected.md
F-702	minor	correctness		`pub` on a path-only `use` is accepted	F-702-pub-path-only-use-accepted.md
F-703	minor	correctness		`pub` on a top-level binding is accepted	F-703-pub-top-level-binding-accepted.md
F-704	minor	coverage		`string.replace` is not implemented	F-704-string-replace-unimplemented.md
F-705	note	coverage		Declared variance is deferred, so covariant data cannot be written	F-705-declared-variance-deferred.md
F-706	minor	correctness		A backslash before a quote in a raw string is a lexer error	F-706-raw-string-escaped-quote.md
F-707	minor	correctness		A comma at depth zero does not end a same-line suite	F-707-same-line-suite-comma-accepted.md
