path	phase	expectation	specification	area	note
fixtures/a3-missing-requirement-sites.hd	type	reject:missing-requirement	11-requirements-and-suspension.md#construction-time-requirement-binding	3	two diagnostic lines (callback call, cold construction); declared-row and lexical twins accept
fixtures/a3-provider-capture-timing.hd	runtime	accept	07-functions.md#captures	3	closure and suspension provider capture at creation
fixtures/a3-generic-key-collision.hd	type	reject:generic-requirement-key-collision	11-requirements-and-suspension.md#provider-scopes	3	declared Repo[T] vs lexical Repo[User]; distinct and exact-override twins accept
fixtures/a3-subtract-absent-two-keys.hd	type	warn:requirement-subtract-absent	11-requirements-and-suspension.md#requirement-rows	3	present-key twin must not warn
fixtures/a4-nan-equality-through-erasure.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	4	equality never falls back to identity even for the same list
fixtures/a4-signed-zero-and-infinity.hd	runtime	accept	04-type-system.md#numeric-conversions	4	Display spellings -0.0, inf, -inf, NaN
fixtures/a4-nan-ordering.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	4	composite ordering stops at the first unordered element
fixtures/a4-i32-extremes-through-erasure.hd	runtime	accept	04-type-system.md#generics	4	primitives are boxed in generic positions
fixtures/a4-erased-i32-overflow-panics.hd	runtime	panic:integer-overflow	04-type-system.md#numeric-conversions	4	boxed i32 must keep i32 overflow checking
fixtures/a4-i64-u64-precision-through-erasure.hd	runtime	accept	04-type-system.md#generics	4	values beyond 2^53
fixtures/a4-f32-width-through-erasure.hd	runtime	accept	04-type-system.md#numeric-conversions	4	AMB-09: assumes shortest round-trip digits are per width (f32 0.1 prints 0.1)
fixtures/a4-expect-result-min-through-optional.hd	runtime	accept	04-type-system.md#optional-types	4	expect-result format; boxed binding avoids T vs T? inference ambiguity (AMB-22)
fixtures/a5-boxed-primitive-identity.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	5	is: fresh box per primitive/tuple conversion; string treated as primitive
fixtures/a5-composite-identity-and-views.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	5	
fixtures/a5-fieldless-variant-canonical.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	5	
fixtures/a5-fieldless-variant-erased-identity.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	5	AMB-07 and AMB-08: Any conversion of a canonical variant; shared-data variant canonicity
fixtures/a5-identity-rejections.hd	type	reject:identity-requires-references	05-expressions.md#unary-and-binary-operators	5	three diagnostic lines; unwrapped composite twin accepts
fixtures/a5-closure-identity-per-evaluation.hd	runtime	accept	05-expressions.md#unary-and-binary-operators	5	also 03 loops: per-iteration binding capture
fixtures/a6-generic-permission-preserved.hd	runtime	accept	04-type-system.md#mutable-paths	6	mutation after binding with explicit mut T to avoid AMB-14
fixtures/a6-readonly-root-generic-path.hd	runtime	accept	04-type-system.md#mutable-paths	6	AMB-14: direct path mutation through a readonly root with a generic mut argument
fixtures/a6-readonly-rejections.hd	type	reject:readonly-root	04-type-system.md#bindings-and-fresh-values	6	four diagnostic lines: readonly-root, mutable-upgrade, readonly-argument-to-mutable-parameter, mutable-receiver-required; AMB-17 on the generic line
fixtures/a6-closure-capture-permission.hd	type	reject:mutable-capture-requires-mut-fn	07-functions.md#captures	6	AMB-16: code for passing a captured mut T to a mut T parameter
fixtures/a6-closure-capture-runtime.hd	runtime	accept	07-functions.md#captures	6	
fixtures/a6-covariant-weakening-runtime.hd	runtime	accept	04-type-system.md#variance	6	AMB-24: is between list[User] and mut list[mut User]; AMB-25: function field read into a local before calling
fixtures/a7-for-map-remove-panics.hd	runtime	panic:iterator-invalidated	06-control-flow.md#for-loops	7	
fixtures/a7-for-map-insert-panics.hd	runtime	panic:iterator-invalidated	06-control-flow.md#for-loops	7	
fixtures/a7-exhausted-iterator-then-growth.hd	runtime	panic:iterator-invalidated	06-control-flow.md#for-loops	7	AMB-13: exhausted iterator after a shape change
fixtures/a7-alias-growth-invalidates.hd	runtime	panic:iterator-invalidated	06-control-flow.md#for-loops	7	iterator obtained through a readonly view
fixtures/a7-shape-versus-value-changes.hd	runtime	accept	06-control-flow.md#for-loops	7	also 04#map-key-types (reinsertion order)
fixtures/a7-remove-absent-key.hd	runtime	accept	06-control-flow.md#for-loops	7	AMB-12: absent-key removal is assumed not to change shape
fixtures/a8-defaults-reference-earlier-parameters.hd	runtime	accept	07-functions.md#default-values	8	named calls hoisted to locals because the reference parser misreports nested named arguments (AMB-02)
fixtures/a8-default-later-parameter-rejected.hd	type	reject:binding-not-yet-visible	07-functions.md#default-values	8	AMB-15: diagnostic code for a later-parameter reference is not named by the spec
fixtures/a8-copy-update-evaluation-order.hd	runtime	accept	05-expressions.md#data-expressions	8	
fixtures/a8-copy-update-shallow.hd	runtime	accept	08-data-and-enums.md#construction-and-access	8	spread does not evaluate defaults; construction does, per construction
fixtures/a8-copy-update-permission.hd	type	reject:mutable-upgrade	05-expressions.md#data-expressions	8	readonly, replaced, and generic-field twins accept
fixtures/a9-empty-strings.hd	runtime	accept	10-modules.md#prelude	9	
fixtures/a9-split-empty-input-nonempty-separator.hd	runtime	accept	10-modules.md#prelude	9	AMB-10: result of "".split(",")
fixtures/a9-multibyte-scalars.hd	runtime	accept	04-type-system.md#strings	9	non-ASCII scalars written literally because the reference lexer rejects \u{...} (AMB-04)
fixtures/a9-trim-white-space.hd	runtime	accept	10-modules.md#prelude	9	invisible scalars written literally (U+3000 U+0085 U+2029 U+FEFF U+200B); AMB-04
fixtures/a9-replace-empty-old.hd	runtime	accept	10-modules.md#prelude	9	AMB-11: whether both ends are scalar boundaries
fixtures/a9-interpolation-display.hd	runtime	accept	05-expressions.md#literals	9	AMB-23: Display side effect via top-level let observes segment order
fixtures/a9-invalid-unicode-escape.hd	parse	reject:invalid-escape	01-lexical-structure.md#string-and-character-literals	9	line 2 (U+10FFFF) is a valid twin; the reference lexer wrongly rejects it too (AMB-04)
