source	action	destination	note
test/fixtures/compiler-types/identity/references/missing-implementation.hd	held back	test/fixtures/compiler-types/identity/references/missing-implementation.hd	marks missing-trait-implementation (unsatisfied bound), which spec/README.md does not inventory (F-205)
test/fixtures/compiler-types/identity/references/unbounded-generic.hd	deleted	spec/conformance/typing/invalid/unbounded-generic-identity.hd	identical to the conformance copy
test/fixtures/compiler-types/requirements/abi.hd	converted by hand	spec/conformance/runtime/valid/requirement-row-forwarded-through-calls.hd	F-201: declare Clock
test/fixtures/compiler-types/requirements/context-errors/non-context-spread.hd	moved	spec/conformance/typing/invalid/provider-spread-of-non-context.hd	-
test/fixtures/compiler-types/requirements/context-errors/wrong-context-type.hd	converted by hand	spec/conformance/typing/invalid/context-result-type-mismatch.hd	F-201: declare Clock and Backup
test/fixtures/compiler-types/requirements/context-normalization.hd	converted by hand	spec/conformance/typing/valid/context-spread-normalization.hd	F-201: declare Clock and Backup
test/fixtures/compiler-types/requirements/contexts.hd	converted by hand	spec/conformance/runtime/valid/context-values-install-providers.hd	F-201: declare Clock and Backup
test/fixtures/compiler-types/requirements/generic-provider-keys/collision.hd	moved	spec/conformance/typing/invalid/generic-provider-key-collision-nested.hd	-
test/fixtures/compiler-types/requirements/generic-provider-keys/consistent-substitution.hd	moved	spec/conformance/typing/valid/generic-provider-keys-consistent-substitution.hd	-
test/fixtures/compiler-types/requirements/generic-provider-keys/distinct.hd	moved	spec/conformance/typing/valid/generic-provider-keys-distinct.hd	-
test/fixtures/compiler-types/requirements/generic-provider-keys/occurs-check.hd	moved	spec/conformance/typing/valid/generic-provider-keys-occurs-check.hd	-
test/fixtures/compiler-types/requirements/generic-provider-keys/spread-collision.hd	moved	spec/conformance/typing/invalid/generic-provider-key-collision-spread.hd	-
test/fixtures/compiler-types/requirements/missing-requirement.hd	converted by hand	spec/conformance/typing/invalid/call-missing-requirement.hd	F-201: declare Clock
test/fixtures/compiler-types/requirements/normalization/explicit-empty-row.hd	held back	test/fixtures/compiler-types/requirements/normalization/explicit-empty-row.hd	uses `$()`, which chapter 02 prose defines but its EBNF (and the reference parser) does not derive
test/fixtures/compiler-types/requirements/normalization/grouped.hd	converted by hand	spec/conformance/typing/valid/requirement-row-grouped-subtraction.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/normalization/ungrouped.hd	converted by hand	spec/conformance/typing/valid/requirement-row-ungrouped-subtraction.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/provider-errors/missing-provider.hd	converted by hand	spec/conformance/typing/invalid/use-without-provider.hd	F-201: declare Clock
test/fixtures/compiler-types/requirements/provider-errors/wrong-provider-type.hd	converted by hand	spec/conformance/typing/invalid/provider-value-type-mismatch.hd	F-201: declare Clock
test/fixtures/compiler-types/requirements/provider-scopes.hd	converted by hand	spec/conformance/runtime/valid/nested-provider-scope.hd	F-201: declare Clock and Backup
test/fixtures/compiler-types/requirements/row-forwarding.hd	converted by hand	spec/conformance/runtime/valid/row-polymorphic-forwarding.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/row-inference/conflicting-row.hd	converted by hand	spec/conformance/typing/invalid/row-inference-conflict.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/row-inference/inferred-empty-row.hd	converted	spec/conformance/runtime/valid/row-inference-empty-row.hd	-
test/fixtures/compiler-types/requirements/row-inference/unavailable-provider.hd	converted by hand	spec/conformance/typing/invalid/row-inference-unavailable-provider.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/row-multi-forwarding.hd	converted by hand	spec/conformance/runtime/valid/row-polymorphic-union-forwarding.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/row-pack.hd	converted by hand	spec/conformance/runtime/valid/row-variable-binds-union.hd	F-201: declare Clock and Logger
test/fixtures/compiler-types/requirements/row-subtraction/absent-subtraction-warning.hd	converted by hand	spec/conformance/typing/warnings/row-subtraction-absent-key.hd	F-201: declare Clock, Logger, Backup
test/fixtures/compiler-types/requirements/row-subtraction/missing-subtracted-provider.hd	converted by hand	spec/conformance/typing/invalid/row-subtraction-without-provider.hd	F-201: declare Logger
test/fixtures/compiler-types/requirements/row-subtraction/provider-restoration.hd	converted by hand	spec/conformance/runtime/valid/row-subtraction-provider-restoration.hd	F-201: declare Clock, Logger, Backup
test/fixtures/compiler-types/requirements/row-union.hd	converted by hand	spec/conformance/runtime/valid/row-variable-plus-key.hd	F-201: declare Logger
test/fixtures/compiler-types/traits/defaults/inherited-method.hd	converted	spec/conformance/runtime/valid/trait-default-method-inherited.hd	-
test/fixtures/compiler-types/traits/defaults/override.hd	converted	spec/conformance/runtime/valid/trait-default-method-overridden.hd	-
test/fixtures/compiler-types/traits/diagnostics/ambiguous-method.hd	moved	spec/conformance/typing/invalid/ambiguous-method-two-traits.hd	-
test/fixtures/compiler-types/traits/diagnostics/mismatched-signature.hd	moved	spec/conformance/typing/invalid/trait-method-result-type-mismatch.hd	-
test/fixtures/compiler-types/traits/diagnostics/missing-method.hd	moved	spec/conformance/typing/invalid/trait-impl-missing-method.hd	-
test/fixtures/compiler-types/traits/dispatch.hd	converted	spec/conformance/runtime/valid/static-and-dynamic-trait-dispatch.hd	-
test/fixtures/compiler-types/traits/embedded-fields.hd	converted	spec/conformance/runtime/valid/embedded-field-satisfies-trait.hd	-
test/fixtures/compiler-types/traits/generic-bounds/dictionary-dispatch.hd	converted	spec/conformance/runtime/valid/generic-bound-dispatch.hd	-
test/fixtures/compiler-types/traits/generic-bounds/missing-implementation.hd	held back	test/fixtures/compiler-types/traits/generic-bounds/missing-implementation.hd	marks missing-trait-implementation (unsatisfied bound), which spec/README.md does not inventory (F-205)
test/fixtures/compiler-types/traits/inherent-methods.hd	converted	spec/conformance/runtime/valid/inherent-methods.hd	-
test/fixtures/compiler-types/traits/multiple-bounds/dictionary-forwarding.hd	converted	spec/conformance/runtime/valid/multiple-bounds-dispatch.hd	-
test/fixtures/compiler-types/traits/multiple-bounds/duplicate-bound.hd	held back	test/fixtures/compiler-types/traits/multiple-bounds/duplicate-bound.hd	marks duplicate-trait-bound, which spec/README.md does not inventory (F-205); second duplicate bound removed (D5)
test/fixtures/compiler-types/traits/mutable-errors/readonly-dynamic.hd	moved	spec/conformance/typing/invalid/readonly-trait-value-mutating-method.hd	-
test/fixtures/compiler-types/traits/mutable-errors/readonly-static.hd	moved	spec/conformance/typing/invalid/readonly-data-mutating-trait-method.hd	-
test/fixtures/compiler-types/traits/mutable-errors/signature-mismatch.hd	moved	spec/conformance/typing/invalid/trait-method-receiver-mismatch.hd	-
test/fixtures/compiler-types/traits/mutable-receivers.hd	converted	spec/conformance/runtime/valid/mutable-receivers.hd	-
test/fixtures/compiler-types/traits/providers.hd	converted	spec/conformance/runtime/valid/trait-value-as-provider.hd	-
test/fixtures/compiler-types/traits/suspending-cancel.hd	converted by hand	spec/conformance/runtime/valid/cancellation-runs-dynamic-method-defer.hd	F-210: accept-only; rewritten as a cancellation-cleanup scenario
test/fixtures/compiler-types/traits/suspending-defaults.hd	converted	spec/conformance/runtime/valid/suspending-trait-default-method.hd	-
test/fixtures/compiler-types/traits/suspending-dispatch.hd	converted	spec/conformance/runtime/valid/suspending-trait-dispatch.hd	-
test/fixtures/compiler-types/tuples/heterogeneous/gc-storage.hd	converted	spec/conformance/runtime/valid/heterogeneous-tuples.hd	-
test/fixtures/compiler-types/tuples/heterogeneous/identity-rejected.hd	deleted	spec/conformance/typing/invalid/tuple-identity.hd	identical to the conformance copy
test/fixtures/compiler-types/tuples/heterogeneous/index-out-of-range.hd	held back	test/fixtures/compiler-types/tuples/heterogeneous/index-out-of-range.hd	marks tuple-index-range, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/00-case-program.hd	converted	spec/conformance/runtime/valid/conditional-call-program.hd	-
test/fixtures/compiler/03-checked-i32-arithmetic-traps-on-overflow.hd	converted by hand	spec/conformance/runtime/panic/i32-add-overflow-in-function.hd	D2: called from a test block
test/fixtures/compiler/04-the-minimum-i32-literal-forms-through-unary-negation-diagnostic.hd	moved	spec/conformance/typing/invalid/unary-plus-i32-literal-range.hd	-
test/fixtures/compiler/04-the-minimum-i32-literal-forms-through-unary-negation-division.hd	converted by hand	spec/conformance/runtime/panic/i32-min-divided-by-minus-one.hd	D2: called from a test block
test/fixtures/compiler/04-the-minimum-i32-literal-forms-through-unary-negation.hd	converted	spec/conformance/runtime/valid/i32-minimum-literal.hd	-
test/fixtures/compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent-negative.hd	converted by hand	spec/conformance/typing/invalid/signed-integer-exponent.hd	L2: a signed exponent is now a type-mismatch error
test/fixtures/compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent-overflow.hd	converted by hand	spec/conformance/runtime/panic/integer-power-overflow.hd	D2: called from a test block
test/fixtures/compiler/05-integer-power-is-right-associative-checked-and-rejects-negative-exponent.hd	converted	spec/conformance/runtime/valid/integer-power-associativity.hd	-
test/fixtures/compiler/06-floating-power-uses-the-host-ieee-pow-primitive-diagnostic.hd	moved	spec/conformance/typing/invalid/power-mixed-numeric-types.hd	-
test/fixtures/compiler/06-floating-power-uses-the-host-ieee-pow-primitive.hd	converted	spec/conformance/runtime/valid/floating-power.hd	-
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-2.hd	moved	spec/conformance/typing/invalid/reassign-short-binding-in-function.hd	-
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-3.hd	moved	spec/conformance/typing/invalid/function-result-type-mismatch.hd	-
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-4.hd	held back	test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-4.hd	marks invalid-binary-operands (float %), which spec/README.md does not inventory (F-205)
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-5.hd	held back	test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-5.hd	marks invalid-binary-operands (bool <), which spec/README.md does not inventory (F-205)
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic-6.hd	moved	spec/conformance/typing/invalid/nonfinal-vararg-then-parameter.hd	-
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-diagnostic.hd	moved	spec/conformance/typing/invalid/unknown-value-name.hd	-
test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-positional-spread-needs-vararg.hd	held back	test/fixtures/compiler/07-checker-rejects-name-mutability-and-type-errors-positional-spread-needs-vararg.hd	marks positional-spread-needs-vararg, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/08-homogeneous-varargs-lower-through-the-existing-list-abi.hd	converted	spec/conformance/runtime/valid/homogeneous-varargs.hd	-
test/fixtures/compiler/09-first-class-vararg-functions-retain-their-calling-convention-type-mismatch.hd	moved	spec/conformance/typing/invalid/list-function-to-vararg-function-type.hd	-
test/fixtures/compiler/09-first-class-vararg-functions-retain-their-calling-convention.hd	converted	spec/conformance/runtime/valid/vararg-function-values.hd	-
test/fixtures/compiler/10-function-parameter-defaults-evaluate-after-explicit-arguments.hd	converted	spec/conformance/runtime/valid/parameter-defaults-after-explicit-arguments.hd	-
test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-diagnostic-2.hd	moved	spec/conformance/typing/invalid/parameter-default-type-mismatch.hd	-
test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-diagnostic.hd	held back	test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-diagnostic.hd	marks parameter-default-order; chapter 07 states the rule but spec/README.md has no code for it (F-205)
test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-impure-parameter-default.hd	moved	spec/conformance/typing/invalid/suspending-parameter-default.hd	-
test/fixtures/compiler/12-varargs-work-in-suspending-and-trait-method-calls.hd	converted	spec/conformance/runtime/valid/varargs-in-trait-and-suspending-methods.hd	-
test/fixtures/compiler/13-named-arguments-map-to-parameters-without-changing-source-evaluation-ord-2.hd	converted	spec/conformance/runtime/valid/named-arguments-reordered.hd	-
test/fixtures/compiler/13-named-arguments-map-to-parameters-without-changing-source-evaluation-ord.hd	converted	spec/conformance/runtime/valid/named-arguments-source-evaluation-order.hd	-
test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order-duplicate-argument.hd	held back	test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order-duplicate-argument.hd	marks duplicate-argument, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order-unknown-named-argument.hd	held back	test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order-unknown-named-argument.hd	marks unknown-named-argument, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order.hd	converted	spec/conformance/runtime/valid/named-enum-payload-evaluation-order.hd	-
test/fixtures/compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name-unknown-variant-pattern-field.hd	held back	test/fixtures/compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name-unknown-variant-pattern-field.hd	marks unknown-variant-pattern-field, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/15-named-enum-payload-patterns-resolve-bindings-by-field-name.hd	converted	spec/conformance/runtime/valid/named-enum-payload-patterns.hd	-
test/fixtures/compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension--nonexhaustive-match.hd	moved	spec/conformance/typing/invalid/literal-payload-pattern-nonexhaustive.hd	-
test/fixtures/compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension-.hd	converted	spec/conformance/runtime/valid/literal-payload-patterns.hd	-
test/fixtures/compiler/17-shared-enum-data-uses-per-variant-factories-and-pure-ordered-defaults.hd	converted	spec/conformance/runtime/valid/shared-enum-data-defaults.hd	-
test/fixtures/compiler/18-named-arguments-work-through-static-and-dynamic-trait-dispatch.hd	converted	spec/conformance/runtime/valid/named-arguments-trait-dispatch.hd	-
test/fixtures/compiler/19-shadow-console.hd	moved	spec/conformance/typing/invalid/prelude-shadow-console-parameter.hd	-
test/fixtures/compiler/19-shadow-display.hd	deleted	spec/conformance/typing/invalid/prelude-shadow.hd	identical to the conformance copy
test/fixtures/compiler/19-shadow-hash.hd	moved	spec/conformance/typing/invalid/prelude-shadow-hash-local.hd	-
test/fixtures/compiler/19-shadow-println.hd	moved	spec/conformance/typing/invalid/prelude-shadow-println-function.hd	-
test/fixtures/compiler/19-shadow-result.hd	moved	spec/conformance/typing/invalid/prelude-shadow-result-generic.hd	-
test/fixtures/compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other-diagnostic.hd	moved	spec/conformance/typing/invalid/branch-binding-does-not-leak.hd	-
test/fixtures/compiler/20-branch-scopes-do-not-leak-and-may-shadow-each-other.hd	converted	spec/conformance/runtime/valid/branch-scopes-shadow.hd	-
test/fixtures/compiler/21-else-if-chains-preserve-value-typing-and-selection-order.hd	converted	spec/conformance/runtime/valid/else-if-chain.hd	-
test/fixtures/compiler/22-while-break-and-continue-lower-to-structured-wasm-control-flow-diagnostic.hd	moved	spec/conformance/typing/invalid/break-outside-loop.hd	-
test/fixtures/compiler/22-while-break-and-continue-lower-to-structured-wasm-control-flow.hd	converted	spec/conformance/runtime/valid/while-break-and-continue.hd	-
test/fixtures/compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-broken.hd	converted	spec/conformance/runtime/valid/while-else-break-value.hd	-
test/fixtures/compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-diagnostic-2.hd	moved	spec/conformance/typing/invalid/plain-break-in-value-loop.hd	-
test/fixtures/compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-diagnostic.hd	moved	spec/conformance/typing/invalid/break-value-in-void-loop.hd	-
test/fixtures/compiler/23-while-else-produces-values-on-break-or-normal-exhaustion-exhausted.hd	converted	spec/conformance/runtime/valid/while-else-exhaustion-value.hd	-
test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va-diagnostic-2.hd	held back	test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va-diagnostic-2.hd	marks for-binding-arity, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va-diagnostic.hd	held back	test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va-diagnostic.hd	marks not-iterable, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va.hd	converted	spec/conformance/runtime/valid/for-loops-lists-and-maps.hd	-
test/fixtures/compiler/25-data-declarations-lower-to-wasm-gc-structs.hd	converted	spec/conformance/runtime/valid/data-fields-named-in-any-order.hd	-
test/fixtures/compiler/26-mutable-data-paths-weaken-one-way-and-share-wasm-gc-identity.hd	converted	spec/conformance/runtime/valid/mutable-data-paths-share-identity.hd	-
test/fixtures/compiler/27-mutable-list-and-map-roots-support-indexed-replacement.hd	converted by hand	spec/conformance/runtime/valid/indexed-replacement-list-and-map.hd	match used as a binary operand is not derived by chapter 02; bound to a local first
test/fixtures/compiler/28-mutable-lists-append-through-growable-wasm-gc-storage-mutable-receiver-required.hd	moved	spec/conformance/typing/invalid/readonly-list-append.hd	-
test/fixtures/compiler/28-mutable-lists-append-through-growable-wasm-gc-storage.hd	converted	spec/conformance/runtime/valid/list-append-grows.hd	-
test/fixtures/compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord-mutable-receiver-required.hd	moved	spec/conformance/typing/invalid/readonly-map-remove.hd	-
test/fixtures/compiler/29-mutable-maps-grow-from-empty-storage-and-remove-entries-in-insertion-ord.hd	converted	spec/conformance/runtime/valid/map-grow-and-remove.hd	-
test/fixtures/compiler/30-data-field-initializers-preserve-source-evaluation-order.hd	converted	spec/conformance/runtime/valid/data-field-evaluation-order.hd	-
test/fixtures/compiler/31-data-field-defaults-run-per-construction-after-explicit-fields.hd	converted	spec/conformance/runtime/valid/data-field-defaults.hd	-
test/fixtures/compiler/32-data-field-defaults-are-type-checked-and-purity-checked-impure-data-default-2.hd	moved	spec/conformance/typing/invalid/suspending-data-field-default.hd	-
test/fixtures/compiler/32-data-field-defaults-are-type-checked-and-purity-checked-impure-data-default.hd	moved	spec/conformance/typing/valid/generic-optional-field-default.hd	-
test/fixtures/compiler/32-data-field-defaults-are-type-checked-and-purity-checked-type-mismatch.hd	moved	spec/conformance/typing/invalid/data-field-default-type-mismatch.hd	-
test/fixtures/compiler/33-data-copy-update-evaluates-its-source-before-replacements.hd	converted	spec/conformance/runtime/valid/copy-update-evaluation-order.hd	-
test/fixtures/compiler/34-data-copy-update-supplies-omitted-fields-without-running-defaults-type-mismatch.hd	moved	spec/conformance/typing/invalid/copy-update-source-type-mismatch.hd	-
test/fixtures/compiler/34-data-copy-update-supplies-omitted-fields-without-running-defaults.hd	converted	spec/conformance/runtime/valid/copy-update-skips-defaults.hd	-
test/fixtures/compiler/35-fieldless-data-lowers-to-an-empty-wasm-gc-struct.hd	converted	spec/conformance/runtime/valid/fieldless-data-argument.hd	-
test/fixtures/compiler/36-data-initialization-missing-field.hd	moved	spec/conformance/typing/invalid/data-literal-missing-field.hd	-
test/fixtures/compiler/36-data-initialization-unknown-field.hd	moved	spec/conformance/typing/invalid/data-literal-unknown-field.hd	-
test/fixtures/compiler/36-data-initialization-wrong-field-type.hd	moved	spec/conformance/typing/invalid/data-literal-field-type-mismatch.hd	-
test/fixtures/compiler/37-data-pattern-duplicate-field.hd	moved	spec/conformance/typing/invalid/data-pattern-repeated-field.hd	-
test/fixtures/compiler/37-data-pattern-nonexhaustive.hd	moved	spec/conformance/typing/invalid/data-pattern-nonexhaustive.hd	-
test/fixtures/compiler/37-data-pattern-unknown-field.hd	moved	spec/conformance/typing/invalid/data-pattern-unknown-field.hd	-
test/fixtures/compiler/37-data-patterns-destructure-nested-fields-and-test-literals.hd	converted	spec/conformance/runtime/valid/data-patterns.hd	-
test/fixtures/compiler/38-strings-use-gc-byte-arrays-and-len-counts-unicode-scalars.hd	converted	spec/conformance/runtime/valid/string-length-counts-scalars.hd	-
test/fixtures/compiler/39-string-interpolation-displays-built-ins-left-to-right.hd	converted	spec/conformance/runtime/valid/string-interpolation-built-ins.hd	-
test/fixtures/compiler/40-strings-compare-by-utf-8-value-order.hd	converted	spec/conformance/runtime/valid/string-ordering.hd	-
test/fixtures/compiler/41-strings-concatenate-and-unnamed-enum-fields-use-numeric-selectors.hd	converted	spec/conformance/runtime/valid/string-concatenation-and-numeric-selectors.hd	-
test/fixtures/compiler/42-character-literals-carry-unicode-scalar-values-and-compare-in-scalar-ord.hd	converted	spec/conformance/runtime/valid/character-literals.hd	-
test/fixtures/compiler/43-defer-runs-after-a-return-value-is-evaluated.hd	converted	spec/conformance/runtime/valid/defer-after-return-value.hd	-
test/fixtures/compiler/44-defer-rejects-escaping-control-flow.hd	held back	test/fixtures/compiler/44-defer-rejects-escaping-control-flow.hd	marks defer-control-flow, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/45-defer-is-lifo-and-runs-on-loop-continue-and-break.hd	converted	spec/conformance/runtime/valid/defer-lifo-and-loop-exits.hd	-
test/fixtures/compiler/46-explicit-panic-lowers-to-unreachable-and-skips-pending-defer.hd	converted by hand	spec/conformance/runtime/panic/explicit-panic-skips-defer.hd	F-204: marker moved to the panicking line; D2: called from a test block
test/fixtures/compiler/47-enums-use-tagged-gc-structs-and-match-binds-payloads.hd	converted	spec/conformance/runtime/valid/enum-payload-match.hd	-
test/fixtures/compiler/48-match-bare-variant.hd	moved	spec/conformance/typing/invalid/bare-variant-pattern-in-match.hd	-
test/fixtures/compiler/48-match-nonexhaustive.hd	moved	spec/conformance/typing/invalid/enum-match-missing-variant.hd	-
test/fixtures/compiler/48-match-pattern-arity.hd	held back	test/fixtures/compiler/48-match-pattern-arity.hd	marks pattern-arity, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/48-match-unreachable-arm.hd	held back	test/fixtures/compiler/48-match-unreachable-arm.hd	marks unreachable-match-arm, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/49-contextual-enum-variant-patterns-use-the-subject-type-variant-binding-name-mismatch.hd	moved	spec/conformance/typing/warnings/variant-binding-names-swapped.hd	-
test/fixtures/compiler/49-contextual-enum-variant-patterns-use-the-subject-type.hd	converted	spec/conformance/runtime/valid/contextual-variant-patterns.hd	-
test/fixtures/compiler/50-contextual-enum-variant-expressions-use-their-expected-type-diagnostic.hd	moved	spec/conformance/typing/invalid/contextual-variant-binding-without-type.hd	-
test/fixtures/compiler/50-contextual-enum-variant-expressions-use-their-expected-type.hd	converted	spec/conformance/runtime/valid/contextual-variant-expressions.hd	-
test/fixtures/compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-diagnostic.hd	moved	spec/conformance/typing/invalid/bool-match-missing-false.hd	-
test/fixtures/compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-unreachable-match-arm.hd	held back	test/fixtures/compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests-unreachable-match-arm.hd	marks unreachable-match-arm, which spec/README.md does not inventory (F-205)
test/fixtures/compiler/51-boolean-matches-are-exhaustive-and-lower-to-scalar-tests.hd	converted	spec/conformance/runtime/valid/bool-match.hd	-
