# commit bd985d7; command: node --experimental-strip-types audit/scripts/w6/oracle-conformance.ts; date: 2026-09-26
body	case	marker	marker_count	selection	original_stage:exit	marker_observed	extra_errors	extra_list	marker_on_structural_line	neutralize	neutral_stage:exit	verdict
spec/conformance	typing/invalid/impure-data-default.hd	diagnostic:impure-default@10	1	unselected	check:1	no	yes	impure-data-default@10	no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/missing-required-data-field.hd	diagnostic:missing-required-field@5	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/break-value-without-else.hd	diagnostic:break-value-context@4	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/top-level-return.hd	diagnostic:return-outside-function@2	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/reassign-short-binding.hd	diagnostic:non-reassignable-binding@3	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/possibly-uninitialized-binding.hd	diagnostic:possibly-uninitialized-binding@5	1	selected	check:1	yes	no		no	delete	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/readonly-mutation.hd	diagnostic:readonly-root@5	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-function-result.hd	diagnostic:readonly-argument-to-mutable-parameter@11	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/mut-upgrade.hd	diagnostic:mutable-upgrade@5	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/integer-narrowing.hd	diagnostic:implicit-narrowing@3	1	unselected	check:1	no	yes	unknown-type@2	no	pass	check:1	isolated-other-errors:unknown-type
spec/conformance	typing/invalid/integer-literal-range.hd	diagnostic:integer-literal-range@2	1	unselected	check:1	no	yes	unknown-type@2	no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/float-literal-range.hd	diagnostic:float-literal-range@1	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/heterogeneous-list.hd	diagnostic:no-common-type@2	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/invalid-map-key.hd	diagnostic:invalid-map-key@3	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/nominal-map-key.hd	diagnostic:invalid-map-key@4	1	unselected	check:1	no	yes	expected-expression@2	no	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/tuple-map-key.hd	diagnostic:invalid-map-key@2	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/float-map-key.hd	diagnostic:invalid-map-key@2	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/pack-map-mapper-mismatch.hd	diagnostic:pack-map-mapper-mismatch@5	1	unselected	check:1	no	yes	unknown-name@5	no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/readonly-suspension-cancel.hd	diagnostic:mutable-receiver-required@6	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/user-suspend-implementation.hd	diagnostic:sealed-trait-implementation@3	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	runtime/panic/invalidated-iterator.hd	panic:iterator-invalidated@5	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	typing/invalid/mixed-signedness.hd	diagnostic:mixed-signedness@3	1	unselected	check:1	no	yes	unknown-type@2	no	pass	check:1	isolated-other-errors:unknown-type
spec/conformance	typing/invalid/unsigned-negation.hd	diagnostic:unsigned-negation@3	1	unselected	check:1	no	yes	unknown-type@2	no	delete	check:1	isolated-other-errors:unknown-type
spec/conformance	typing/invalid/nonnumeric-unary-plus.hd	diagnostic:nonnumeric-unary-plus@2	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	runtime/panic/integer-divide-by-zero.hd	panic:integer-division-by-zero@2	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	typing/invalid/missing-mutable-edge.hd	diagnostic:readonly-edge@8	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/nil-to-any.hd	diagnostic:nil-to-nonoptional@2	1	unselected	check:1	no	yes	unknown-type@2	no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/nonexhaustive-match.hd	diagnostic:nonexhaustive-match@6	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/discarded-result.hd	diagnostic:discarded-must-use-value@9	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/discarded-suspension.hd	diagnostic:discarded-must-use-value@4	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/guarded-match-not-exhaustive.hd	diagnostic:nonexhaustive-match@6	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/duplicate-data-pattern-field.hd	diagnostic:duplicate-data-pattern-field@6	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/contextual-variant-without-type.hd	diagnostic:missing-contextual-enum-type@5	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/nonexhaustive-bool-match.hd	diagnostic:nonexhaustive-match@2	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/overload.hd	diagnostic:duplicate-module-name@2	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/redeclare-core-type.hd	diagnostic:prelude-name-shadow@2	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/prelude-shadow.hd	diagnostic:prelude-name-shadow@1	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/function-equality.hd	diagnostic:unsupported-equality@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/unsaturated-enum-constructor.hd	diagnostic:unsaturated-enum-constructor@3	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/ambiguous-trait-method.hd	diagnostic:ambiguous-method@17	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/unsafe-dynamic-trait.hd	diagnostic:trait-not-dynamically-safe@5	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/orphan-impl.hd	diagnostic:orphan-impl@1	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/local-impl-nonlocal-pair.hd	diagnostic:local-impl-nonlocal-pair@9	1	unselected	check:1	no	yes	expected-expression@9	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/private-type-leak.hd	diagnostic:private-type-leak@3	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/variance-position.hd	diagnostic:invalid-variance@3	1	unselected	check:1	no	yes	expected-token@2	no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/warnings/unreachable-code.hd	warning:unreachable-code@3	1	selected	check:0	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/warnings/unused-local-binding.hd	warning:unused-local-binding@2	1	selected	check:0	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/duplicate-data-field.hd	diagnostic:duplicate-field@6	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/missing-child-annotation.hd	diagnostic:missing-child-annotation@29	1	unselected	check:1	no	yes	expected-expression@29	no	delete	check:1	isolated-other-errors:unknown-trait
spec/conformance	typing/invalid/embedded-field-decorator-type.hd	diagnostic:invalid-field-metadata@14	1	unselected	check:1	no	yes	expected-token@14	no	delete	check:1	isolated-other-errors:unknown-type+void-data-field+unknown-trait
spec/conformance	typing/invalid/derived-hash-field-not-hash.hd	diagnostic:field-not-hash@6	1	unselected	check:1	no	yes	decorator-not-top-level@4	no	pass	check:1	isolated-other-errors:decorator-not-top-level
spec/conformance	typing/invalid/derived-total-order-float.hd	diagnostic:field-not-eq@4	1	unselected	check:1	no	yes	decorator-not-top-level@2	no	pass	check:1	isolated-other-errors:decorator-not-top-level
spec/conformance	typing/invalid/present-pattern-nonoptional.hd	diagnostic:optional-pattern-requires-optional@3	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/missing-requirement.hd	diagnostic:missing-requirement@7	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/bang-call-outside-suspension.hd	diagnostic:bang-call-outside-suspension@5	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/pack-length-mismatch.hd	diagnostic:pack-length-mismatch@11	1	unselected	check:1	no	yes	unsupported-generic-parameter@2	yes	pass	check:1	isolated-other-errors:unsupported-generic-parameter
spec/conformance	typing/invalid/impossible-gadt-pattern.hd	diagnostic:impossible-gadt-pattern@9	1	unselected	check:1	no	yes	unknown-type@3 void-data-field@3 unsupported-gadt-result@3 unsupported-gadt-result@4 unknown-type@6	no	delete	check:1	isolated-other-errors:unknown-type+void-data-field+unsupported-gadt-result
spec/conformance	typing/invalid/unknown-annotation-member.hd	diagnostic:unknown-annotation-member@6	1	unselected	check:1	no	yes	expected-expression@5	no	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/partial-generic-arguments.hd	diagnostic:partial-generic-arguments@4	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/unresolved-generic-placeholder.hd	diagnostic:unresolved-generic-placeholder@4	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/partial-generic-method-arguments.hd	diagnostic:partial-generic-arguments@9	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/reassign-parameter.hd	diagnostic:non-reassignable-parameter-binding@2	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/parameter-decorator-type.hd	diagnostic:invalid-parameter-metadata@10	1	unselected	check:1	no	yes	expected-token@10	no	delete	check:1	isolated-other-errors:unknown-trait
spec/conformance	typing/invalid/retention-missing-field.hd	diagnostic:unknown-shape-target@4	1	unselected	check:1	no	yes	expected-expression@4	no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/configured-facet-not-annotator.hd	diagnostic:decorator-not-annotator@4	1	unselected	check:1	no	yes	decorator-not-top-level@4	no	delete	check:0	isolated-accepts
spec/conformance	parse/invalid/local-decorator.hd	diagnostic:decorator-not-top-level@2	1	selected	parse:1	yes	no		no	pass	parse:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/overlapping-generic-annotation.hd	diagnostic:overlapping-annotation-impl@15	1	unselected	check:1	no	yes	expected-expression@11	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/duplicate-direct-annotation-impl.hd	diagnostic:duplicate-annotation-impl@30	1	unselected	check:1	no	yes	expected-expression@30	yes	delete	check:1	isolated-other-errors:unknown-trait
spec/conformance	typing/invalid/covariant-gadt-result.hd	diagnostic:invalid-variance@5	1	unselected	check:1	no	yes	expected-token@4	no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/variance-representation-change.hd	diagnostic:variance-representation-change@5	1	unselected	check:1	no	yes	expected-token@1	no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/transitive-uninitialized-binding.hd	diagnostic:top-level-read-before-initialization@1	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/row-subtraction-unsound.hd	diagnostic:missing-requirement@5	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/warnings/requirement-subtract-absent.hd	warning:requirement-subtract-absent@17	1	selected	check:0	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/permission-target-overlap.hd	diagnostic:overlapping-impl@7	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/library-orphan-annotation.hd	diagnostic:orphan-annotation-in-library@5	1	unselected	check:1	no	yes	expected-expression@5	no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/annotation-direct-reentry.hd	diagnostic:annotation-resolution-reentry@10	1	unselected	check:1	no	yes	expected-expression@12	no	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/nonhost-entry-requirement.hd	diagnostic:nonhost-entry-requirement@3	1	unselected	check:1	yes	yes	private-type-leak@3	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/embedded-mut-trait-bodyless.hd	diagnostic:promoted-mutable-requirement@14	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/derived-generic-bound.hd	diagnostic:missing-derived-bound@6	1	unselected	check:1	no	yes	decorator-not-top-level@1	no	pass	check:1	isolated-other-errors:decorator-not-top-level
spec/conformance	typing/invalid/row-kind-mismatch.hd	diagnostic:generic-kind-mismatch@4	1	unselected	check:1	no	yes	expected-token@4	yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/multiple-positional-value-packs.hd	diagnostic:multiple-positional-value-packs@1	1	unselected	check:1	no	yes	unsupported-generic-parameter@1	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/least-type-weakening-variance.hd	diagnostic:no-least-common-type@5	1	unselected	check:1	no	yes	no-common-type@5	no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/plain-closure-mutable-capture.hd	diagnostic:mutable-capture-requires-mut-fn@3	1	unselected	check:0	no	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/warnings/variant-binding-name-mismatch.hd	warning:variant-binding-name-mismatch@6	1	selected	check:0	yes	no		no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/string-indexing.hd	diagnostic:unsupported-string-indexing@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	runtime/panic/signed-min-division-overflow.hd	panic:integer-overflow@3	1	selected	test:1	yes	n/a		no	delete	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/data-annotator-map-build.hd	diagnostic:annotation-build-signature@21	1	unselected	check:1	no	yes	unknown-trait@5 unknown-trait@8	no	delete	check:1	isolated-other-errors:unknown-trait
spec/conformance	typing/invalid/unbounded-generic-identity.hd	diagnostic:identity-needs-reference-bound@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/tuple-identity.hd	diagnostic:identity-requires-references@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/annotation-top-level-read.hd	diagnostic:annotation-top-level-read@10	1	unselected	check:1	no	yes	expected-expression@12	no	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/private-requirement-row.hd	diagnostic:private-type-leak@3	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/metadata-type-as-value.hd	diagnostic:type-used-as-value@5	1	unselected	check:1	no	yes	unknown-type@4	no	pass	check:1	isolated-other-errors:unknown-type
spec/conformance	parse/invalid/doc-comment-without-target.hd	diagnostic:doc-comment-without-target@2	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/two-trailing-blocks.hd	diagnostic:trailing-block-position@3	1	selected	parse:1	yes	no		yes	delete	parse:0	isolated-accepts
spec/conformance	typing/invalid/contravariant-representation-change.hd	diagnostic:variance-representation-change@5	1	unselected	check:1	no	yes	expected-token@1	no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/generic-requirement-key-collision.hd	diagnostic:generic-requirement-key-collision@5	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	runtime/panic/nested-block-on.hd	panic:suspension-nested-driver@7	1	selected	test:1	yes	n/a		no	delete	check:1	isolated-other-errors:missing-return-value
spec/conformance	typing/invalid/assert-equal-non-eq.hd	diagnostic:missing-partial-eq@8	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/supertrait-cycle.hd	diagnostic:supertrait-cycle@1	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/missing-trait-method.hd	diagnostic:missing-trait-method@5	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/trait-method-signature.hd	diagnostic:trait-method-signature@7	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:doc-comment-without-target
spec/conformance	typing/invalid/duplicate-inherent-member.hd	diagnostic:duplicate-inherent-member@5	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/variant-result-owner.hd	diagnostic:variant-result-owner@5	1	unselected	check:1	no	yes	expected-token@2	no	pass	check:1	isolated-other-errors:expected-token
spec/conformance	typing/invalid/duplicate-trait-member.hd	diagnostic:duplicate-trait-member@3	1	selected	check:1	yes	no		yes	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/unrepresentable-type-shape.hd	diagnostic:unrepresentable-type-shape@7	1	unselected	check:1	no	yes	expected-expression@7	no	delete	check:0	isolated-accepts
spec/conformance	typing/invalid/suspension-forbidden-context.hd	diagnostic:suspension-forbidden-context@9	1	selected	check:1	yes	no		yes	delete	check:1	isolated-other-errors:unknown-name
spec/conformance	typing/invalid/reimport-prelude-name.hd	diagnostic:prelude-name-shadow@1	1	selected	check:1	yes	no		no	delete	check:0	isolated-accepts
spec/conformance	parse/invalid/multi-binding-needs-parentheses.hd	diagnostic:multi-binding-needs-parentheses@3	1	selected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	typing/invalid/mixed-numeric-power.hd	diagnostic:mixed-numeric-types@2	1	selected	check:1	yes	no		no	pass	check:1	isolated-other-errors:missing-return-value
spec/conformance	runtime/panic/second-suspension-drive.hd	panic:suspension-invalid-state@8	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	runtime/panic/test-block-on.hd	panic:suspension-nested-driver@7	1	selected	test:1	yes	n/a		no	delete	check:1	isolated-other-errors:missing-return-value
spec/conformance	runtime/panic/reentrant-cancel.hd	panic:suspension-reentrant-poll@17	1	selected	test:1	yes	n/a		no	delete	test:0	isolated-accepts
spec/conformance	runtime/panic/competing-suspension-drivers.hd	panic:suspension-competing-driver@5	1	selected	test:1	yes	n/a		no	pass	test:1	code-persists
spec/conformance	runtime/panic/reentrant-suspension-poll.hd	panic:suspension-reentrant-poll@5	1	selected	test:1	yes	n/a		no	pass	test:1	code-persists
spec/conformance	typing/invalid/nonfinal-positional-value-pack.hd	diagnostic:nonfinal-positional-value-pack@1	1	unselected	check:1	no	yes	unsupported-generic-parameter@1	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/nondisplay-entry-error.hd	diagnostic:entry-error-not-display@3	1	unselected	check:1	yes	yes	private-type-leak@3	yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/top-level-defer.hd	diagnostic:defer-outside-cleanup-scope@1	1	selected	check:1	yes	no		yes	pass	check:1	isolated-other-errors:expected-expression
spec/conformance	typing/invalid/defer-suspends.hd	diagnostic:suspending-defer@6	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	typing/invalid/defer-block-on.hd	diagnostic:suspension-forbidden-context@12	1	selected	check:1	yes	no		no	pass	check:0	isolated-accepts
spec/conformance	parse/invalid/brace-escape.hd	diagnostic:invalid-escape@2	1	unselected	parse:1	yes	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/stray-dollar.hd	diagnostic:syntax-error@2	1	unselected	parse:1	no	yes	invalid-string-interpolation@2	no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/same-line-suite-comma.hd	diagnostic:syntax-error@6	1	unselected	parse:0	no	no		no	delete	parse:0	isolated-accepts
spec/conformance	parse/invalid/same-line-let-comma.hd	diagnostic:syntax-error@4	1	unselected	parse:0	no	no		no	delete	parse:0	isolated-accepts
